inventory_id,merchant_id,warehouse_id,sku,available_qty,reserved_qty
INV000035,M001,WH_SOUTHWEST,JACKET_DENIM_L,29,27
INV000036,M001,WH_SOUTHWEST,FORMAL_SHIRT_BLUE_M,9,7
INV000037,M001,WH_SOUTH,HOODIE_GREY_M,208,69
INV000038,M001,WH_SOUTH,SHOES_BLACK_9,82,20
INV000039,M001,WH_SOUTH,DRESS_RED_M,285,52
INV000040,M001,WH_CENTRAL,SUNGLASSES_BLACK,125,72
INV000041,M001,WH_NORTH,TSHIRT_WHITE_M,133,58
INV000042,M001,WH_SOUTH,DRESS_RED_S,382,38
INV000043,M001,WH_WEST,FORMAL_TROUSER_BLACK_32,41,16
INV000044,M001,WH_CENTRAL,BACKPACK_GREY,475,67
INV000045,M001,WH_SOUTH,BAG_CANVAS_BLACK,37,26
INV000046,M001,WH_SOUTH,BAG_LEATHER_BROWN,371,1
INV000047,M001,WH_NORTH,TSHIRT_BLACK_L,101,66
INV000048,M001,WH_SOUTHWEST,BAG_LEATHER_BROWN,11,7
INV000049,M001,WH_SOUTHWEST,CAP_NAVY,62,48
INV000050,M001,WH_SOUTH,WOMEN_TOP_PINK_S,266,37
INV000051,M001,WH_SOUTHWEST,TSHIRT_BLACK_M,86,21
INV000052,M001,WH_SOUTH,TSHIRT_BLACK_L,246,33
INV000053,M001,WH_NORTH,SAREE_SILK_RED,78,71
INV000054,M001,WH_WEST,TSHIRT_NAVY_M,150,17
INV000055,M001,WH_CENTRAL,JEANS_BLUE_30,236,10
INV000056,M001,WH_WEST,SAREE_SILK_RED,6,2
INV000057,M001,WH_SOUTHWEST,BACKPACK_GREY,5,4
INV000058,M001,WH_SOUTH,KURTA_COTTON_M,4,4
INV000059,M001,WH_NORTH,BAG_CANVAS_BLACK,193,13
INV000060,M001,WH_WEST,DRESS_RED_S,139,56
INV000061,M001,WH_WEST,WOMEN_TOP_PINK_M,42,40
INV000062,M001,WH_CENTRAL,HOODIE_GREY_L,134,71
INV000063,M001,WH_CENTRAL,DRESS_RED_M,438,34
INV000064,M001,WH_NORTH,SHOES_WHITE_8,39,13
INV000065,M001,WH_SOUTHWEST,JEANS_BLACK_32,23,9
INV000066,M001,WH_SOUTH,FORMAL_SHIRT_BLUE_M,176,69
INV000067,M001,WH_EAST,BACKPACK_GREY,461,30
INV000068,M001,WH_SOUTH,HOODIE_NAVY_L,73,67
INV000069,M001,WH_WEST,KURTA_COTTON_M,46,30
INV000070,M001,WH_EAST,WOMEN_TOP_PINK_M,244,4
INV000071,M001,WH_SOUTHWEST,SNEAKERS_GREY_8,70,69
INV000072,M001,WH_SOUTHWEST,BAG_LEATHER_BROWN,15,1
INV000073,M001,WH_WEST,HOODIE_NAVY_M,84,72
INV000074,M001,WH_CENTRAL,TSHIRT_WHITE_M,245,80
INV000075,M001,WH_NORTH,JEANS_BLUE_34,187,31
INV000076,M001,WH_EAST,SHOES_WHITE_9,108,69
INV000077,M001,WH_EAST,SHOES_WHITE_9,118,70
INV000078,M001,WH_SOUTHWEST,JACKET_DENIM_L,108,35
INV000079,M001,WH_EAST,WOMEN_TOP_PINK_M,8,6
INV000080,M001,WH_NORTH,WATCH_CLASSIC_BLACK,154,67
INV000081,M001,WH_SOUTH,BAG_LEATHER_BROWN,174,18
INV000082,M001,WH_SOUTHWEST,WATCH_CLASSIC_BLACK,96,13
INV000083,M001,WH_SOUTHWEST,TRACKPANTS_BLACK_M,111,12
INV000084,M001,WH_SOUTHWEST,SHOES_BLACK_8,78,63
INV000085,M001,WH_SOUTH,FORMAL_SHIRT_BLUE_M,203,57
INV000086,M001,WH_SOUTH,BAG_CANVAS_BLACK,161,31
INV000087,M001,WH_WEST,TRACKPANTS_BLACK_M,92,48
INV000088,M001,WH_WEST,KURTA_COTTON_M,93,21
INV000089,M001,WH_SOUTHWEST,JACKET_DENIM_M,115,23
INV000090,M001,WH_WEST,FORMAL_TROUSER_BLACK_34,6,5
INV000091,M001,WH_SOUTH,DRESS_RED_M,297,63
INV000092,M001,WH_WEST,HOODIE_GREY_M,146,4
INV000093,M001,WH_CENTRAL,SUNGLASSES_BLACK,272,23
INV000094,M001,WH_WEST,DRESS_RED_M,178,40
INV000095,M001,WH_CENTRAL,SHOES_WHITE_9,30,14
INV000096,M001,WH_SOUTH,DRESS_BLUE_S,159,27
INV000097,M001,WH_EAST,FORMAL_SHIRT_BLUE_L,221,6
INV000098,M001,WH_CENTRAL,KURTA_COTTON_L,132,29
INV000099,M001,WH_SOUTH,SHOES_WHITE_8,198,18
INV000100,M001,WH_WEST,WOMEN_TOP_PINK_M,5,2
INV000101,M001,WH_CENTRAL,SHOES_WHITE_8,1,1
INV000102,M001,WH_CENTRAL,KURTA_COTTON_L,300,11
INV000103,M001,WH_SOUTH,SUNGLASSES_BLACK,337,23
INV000104,M001,WH_CENTRAL,SHOES_BLACK_9,274,53
INV000105,M001,WH_SOUTH,SAREE_COTTON_BLUE,323,13
INV000106,M001,WH_CENTRAL,BACKPACK_GREY,333,73
INV000107,M001,WH_WEST,JEANS_BLACK_34,95,19
INV000108,M001,WH_SOUTH,BAG_LEATHER_BROWN,315,40
INV000109,M001,WH_NORTH,WOMEN_TOP_PINK_S,203,68
INV000110,M001,WH_SOUTHWEST,SNEAKERS_GREY_8,42,32
INV000111,M001,WH_EAST,WOMEN_TOP_PINK_M,228,0
INV000112,M001,WH_SOUTH,HOODIE_NAVY_M,92,11
INV000113,M001,WH_NORTH,SPORTS_TSHIRT_RED_M,112,21
INV000114,M001,WH_EAST,TRACKPANTS_BLACK_L,51,47
INV000115,M001,WH_CENTRAL,TRACKPANTS_BLACK_L,6,0
INV000116,M001,WH_EAST,TSHIRT_BLACK_M,279,78
INV000117,M001,WH_NORTH,BAG_CANVAS_BLACK,1,1
INV000118,M001,WH_SOUTH,HOODIE_NAVY_M,118,76
INV000119,M001,WH_CENTRAL,WOMEN_TOP_PINK_S,242,1
INV000120,M001,WH_SOUTH,DRESS_RED_S,347,6
INV000121,M001,WH_WEST,SUNGLASSES_BLACK,134,18
INV000122,M001,WH_SOUTHWEST,TRACKPANTS_BLACK_M,61,33
INV000123,M001,WH_NORTH,BACKPACK_GREY,42,21
INV000124,M001,WH_CENTRAL,HOODIE_GREY_L,282,46
INV000125,M001,WH_CENTRAL,SNEAKERS_GREY_8,414,32
INV000126,M001,WH_SOUTHWEST,SAREE_SILK_RED,106,0
INV000127,M001,WH_NORTH,HOODIE_GREY_L,218,55
INV000128,M001,WH_CENTRAL,TSHIRT_WHITE_M,0,0
INV000129,M001,WH_SOUTH,JACKET_DENIM_M,259,41
INV000130,M001,WH_SOUTH,SNEAKERS_GREY_8,133,76
INV000131,M001,WH_CENTRAL,TSHIRT_BLACK_M,466,46
INV000132,M001,WH_EAST,JEANS_BLUE_34,280,60
INV000133,M001,WH_SOUTH,WOMEN_TOP_PINK_M,93,72
INV000134,M001,WH_CENTRAL,WOMEN_TOP_PINK_S,223,19
INV000135,M001,WH_WEST,TRACKPANTS_BLACK_M,178,36
INV000136,M001,WH_NORTH,HOODIE_GREY_L,221,61
INV000137,M001,WH_EAST,WATCH_CLASSIC_BLACK,254,34
INV000138,M001,WH_WEST,FORMAL_TROUSER_BLACK_32,7,3
INV000139,M001,WH_CENTRAL,WATCH_CLASSIC_BLACK,271,31
INV000140,M001,WH_EAST,SPORTS_TSHIRT_RED_M,12,6
INV000141,M001,WH_SOUTHWEST,JEANS_BLUE_34,92,49
INV000142,M001,WH_CENTRAL,JEANS_BLUE_34,428,32
INV000143,M001,WH_SOUTH,DRESS_BLUE_S,0,0
INV000144,M001,WH_SOUTH,JEANS_BLUE_34,265,38
INV000145,M001,WH_SOUTHWEST,BACKPACK_GREY,59,55
INV000146,M001,WH_WEST,TRACKPANTS_BLACK_M,195,49
INV000147,M001,WH_CENTRAL,HOODIE_GREY_L,299,46
INV000148,M001,WH_SOUTH,PERFUME_100ML,198,48
INV000149,M001,WH_EAST,TSHIRT_WHITE_L,12,1
INV000150,M001,WH_SOUTHWEST,HOODIE_GREY_M,18,1
INV000151,M001,WH_WEST,JEANS_BLUE_34,170,60
INV000152,M001,WH_CENTRAL,PERFUME_100ML,195,19
INV000153,M001,WH_SOUTH,WOMEN_TOP_PINK_S,10,5
INV000154,M001,WH_SOUTH,PERFUME_100ML,247,38
INV000155,M001,WH_SOUTH,FORMAL_TROUSER_BLACK_34,232,7
INV000156,M001,WH_SOUTH,FORMAL_SHIRT_BLUE_L,96,66
INV000157,M001,WH_SOUTH,KURTA_COTTON_M,270,80
INV000158,M001,WH_NORTH,TSHIRT_NAVY_M,245,30
INV000159,M001,WH_WEST,FORMAL_SHIRT_BLUE_L,146,36
INV000160,M001,WH_WEST,JEANS_BLACK_34,213,66
INV000161,M001,WH_SOUTHWEST,KURTA_COTTON_M,23,18
INV000162,M001,WH_SOUTH,WATCH_CLASSIC_BLACK,205,3
INV000163,M001,WH_WEST,TSHIRT_BLACK_M,216,7
INV000164,M001,WH_SOUTH,HOODIE_GREY_M,235,73
INV000165,M001,WH_SOUTHWEST,TRACKPANTS_BLACK_M,58,55
INV000166,M001,WH_NORTH,DRESS_BLUE_S,67,9
INV000167,M001,WH_CENTRAL,TSHIRT_BLACK_M,433,52
INV000168,M001,WH_NORTH,PERFUME_100ML,134,38
INV000169,M001,WH_SOUTHWEST,TSHIRT_NAVY_M,108,65
INV000170,M001,WH_CENTRAL,TRACKPANTS_BLACK_M,296,1
INV000171,M001,WH_EAST,KURTA_COTTON_L,34,27
INV000172,M001,WH_SOUTHWEST,SNEAKERS_GREY_8,64,34
INV000173,M001,WH_EAST,DRESS_RED_M,264,54
INV000174,M001,WH_NORTH,KURTA_COTTON_M,91,55
INV000175,M001,WH_WEST,SUNGLASSES_BLACK,50,37
INV000176,M001,WH_SOUTH,SAREE_SILK_RED,48,20
INV000177,M001,WH_WEST,KURTA_COTTON_M,117,55
INV000178,M001,WH_CENTRAL,DRESS_BLUE_S,186,59
INV000179,M001,WH_SOUTH,FORMAL_SHIRT_BLUE_M,74,70
INV000180,M001,WH_CENTRAL,SHOES_BLACK_8,257,64
INV000181,M001,WH_NORTH,JEANS_BLUE_32,232,14
INV000182,M001,WH_SOUTHWEST,SNEAKERS_GREY_9,92,59
INV000183,M001,WH_SOUTH,SHOES_WHITE_8,194,30
INV000184,M001,WH_CENTRAL,WOMEN_TOP_PINK_S,6,6
INV000185,M001,WH_CENTRAL,SAREE_SILK_RED,9,4
INV000186,M001,WH_EAST,KURTA_COTTON_M,6,3
INV000187,M001,WH_NORTH,JEANS_BLUE_32,203,52
INV000188,M001,WH_WEST,HOODIE_NAVY_L,225,66
INV000189,M001,WH_NORTH,SHOES_BLACK_8,61,26
INV000190,M001,WH_SOUTH,WATCH_CLASSIC_BLACK,26,21
INV000191,M001,WH_SOUTHWEST,SHOES_BLACK_9,86,11
INV000192,M001,WH_NORTH,SNEAKERS_GREY_8,68,28
INV000193,M001,WH_NORTH,JACKET_DENIM_L,139,18
INV000194,M001,WH_SOUTHWEST,DRESS_RED_M,18,5
INV000195,M001,WH_SOUTH,JEANS_BLUE_34,229,65
INV000196,M001,WH_CENTRAL,TSHIRT_WHITE_M,2,0
INV000197,M001,WH_CENTRAL,BAG_CANVAS_BLACK,308,62
INV000198,M001,WH_NORTH,SPORTS_TSHIRT_RED_M,68,5
INV000199,M001,WH_CENTRAL,DRESS_RED_M,489,31
INV000200,M001,WH_EAST,TSHIRT_WHITE_L,275,54
INV000201,M001,WH_WEST,BAG_CANVAS_BLACK,129,8
INV000202,M001,WH_SOUTHWEST,WATCH_CLASSIC_BLACK,79,26
INV000203,M001,WH_CENTRAL,WALLET_BROWN,227,58
INV000204,M001,WH_NORTH,BACKPACK_GREY,36,11
INV000205,M001,WH_CENTRAL,BACKPACK_GREY,446,76
INV000206,M001,WH_SOUTHWEST,WATCH_CLASSIC_BLACK,10,8
INV000207,M001,WH_NORTH,TSHIRT_NAVY_M,90,56
INV000208,M001,WH_CENTRAL,FORMAL_TROUSER_BLACK_32,163,43
INV000209,M001,WH_EAST,WOMEN_TOP_PINK_M,10,3
INV000210,M001,WH_SOUTHWEST,SAREE_SILK_RED,27,24
INV000211,M001,WH_SOUTHWEST,JEANS_BLUE_34,111,13
INV000212,M001,WH_EAST,WATCH_CLASSIC_BLACK,350,62
INV000213,M001,WH_SOUTHWEST,TSHIRT_NAVY_M,117,9
INV000214,M001,WH_NORTH,SAREE_SILK_RED,51,34
INV000215,M001,WH_EAST,BACKPACK_GREY,487,23
INV000216,M001,WH_CENTRAL,TSHIRT_WHITE_M,2,2
INV000217,M001,WH_WEST,TSHIRT_BLACK_M,243,64
INV000218,M001,WH_WEST,BELT_BLACK,6,0
INV000219,M001,WH_EAST,WOMEN_TOP_PINK_M,356,57
INV000220,M001,WH_EAST,FORMAL_SHIRT_BLUE_M,337,57
INV000221,M001,WH_SOUTHWEST,CAP_NAVY,82,31
INV000222,M001,WH_WEST,TSHIRT_BLACK_M,175,2
INV000223,M001,WH_NORTH,JEANS_BLUE_34,167,16
INV000224,M001,WH_EAST,SAREE_COTTON_BLUE,254,64
INV000225,M001,WH_EAST,SAREE_SILK_RED,340,20
INV000226,M001,WH_CENTRAL,TRACKPANTS_BLACK_M,250,75
INV000227,M001,WH_SOUTH,SAREE_SILK_RED,155,57
INV000228,M001,WH_CENTRAL,BAG_CANVAS_BLACK,295,59
INV000229,M001,WH_WEST,TSHIRT_NAVY_M,201,6
INV000230,M001,WH_EAST,BAG_CANVAS_BLACK,242,19
INV000231,M001,WH_NORTH,TSHIRT_WHITE_M,95,59
INV000232,M001,WH_SOUTHWEST,TSHIRT_BLACK_L,45,30
INV000233,M001,WH_SOUTH,WALLET_BROWN,363,49
INV000234,M001,WH_NORTH,SHOES_WHITE_9,82,15
INV000235,M001,WH_EAST,FORMAL_SHIRT_BLUE_M,236,40
INV000236,M001,WH_SOUTH,KURTA_COTTON_M,60,1
INV000237,M001,WH_SOUTH,SAREE_SILK_RED,282,14
INV000238,M001,WH_NORTH,JEANS_BLUE_32,136,67
INV000239,M001,WH_NORTH,WATCH_SPORT_SILVER,236,59
INV000240,M001,WH_WEST,SUNGLASSES_BLACK,42,28
INV000241,M001,WH_NORTH,KURTA_COTTON_M,5,1
INV000242,M001,WH_CENTRAL,SAREE_SILK_RED,347,13
INV000243,M001,WH_SOUTHWEST,SNEAKERS_GREY_9,54,17
INV000244,M001,WH_CENTRAL,KURTA_COTTON_L,168,69
INV000245,M001,WH_SOUTHWEST,JACKET_DENIM_M,33,19
INV000246,M001,WH_SOUTH,KURTA_COTTON_L,191,59
INV000247,M001,WH_NORTH,JEANS_BLACK_34,64,56
INV000248,M001,WH_NORTH,TSHIRT_WHITE_L,118,79
INV000249,M001,WH_SOUTHWEST,CAP_NAVY,107,57
INV000250,M001,WH_SOUTHWEST,SPORTS_TSHIRT_RED_L,80,17
INV000251,M001,WH_NORTH,TSHIRT_NAVY_M,4,4
INV000252,M001,WH_CENTRAL,JEANS_BLUE_34,275,78
INV000253,M001,WH_SOUTH,JACKET_DENIM_M,85,61
INV000254,M001,WH_SOUTHWEST,SNEAKERS_GREY_9,78,23
INV000255,M001,WH_NORTH,SHOES_WHITE_8,123,76
INV000256,M001,WH_EAST,BAG_CANVAS_BLACK,395,41
INV000257,M001,WH_SOUTH,BAG_LEATHER_BROWN,152,3
INV000258,M001,WH_NORTH,BAG_CANVAS_BLACK,60,5
INV000259,M001,WH_SOUTH,BACKPACK_GREY,205,67
INV000260,M001,WH_CENTRAL,CAP_NAVY,204,10
INV000261,M001,WH_CENTRAL,BACKPACK_GREY,377,3
INV000262,M001,WH_WEST,TSHIRT_BLACK_M,90,47
INV000263,M001,WH_SOUTHWEST,SAREE_SILK_RED,70,69
INV000264,M001,WH_SOUTHWEST,JEANS_BLACK_32,10,10
INV000265,M001,WH_SOUTHWEST,TSHIRT_NAVY_M,6,5
INV000266,M001,WH_SOUTHWEST,DRESS_RED_M,3,3
INV000267,M001,WH_EAST,TRACKPANTS_BLACK_L,245,23
INV000268,M001,WH_EAST,DRESS_RED_S,53,27
INV000269,M001,WH_CENTRAL,FORMAL_TROUSER_BLACK_32,4,1
INV000270,M001,WH_EAST,FORMAL_SHIRT_BLUE_M,0,0
INV000271,M001,WH_SOUTHWEST,SHOES_BLACK_8,31,14
INV000272,M001,WH_EAST,BACKPACK_GREY,452,31
INV000273,M001,WH_NORTH,WOMEN_TOP_PINK_M,138,14
INV000274,M001,WH_NORTH,SPORTS_TSHIRT_RED_L,33,31
INV000275,M001,WH_NORTH,PERFUME_100ML,199,21
INV000276,M001,WH_WEST,SNEAKERS_GREY_8,242,73
INV000277,M001,WH_EAST,KURTA_COTTON_L,50,12
INV000278,M001,WH_WEST,BAG_CANVAS_BLACK,10,9
INV000279,M001,WH_NORTH,DRESS_RED_M,58,5
INV000280,M001,WH_SOUTH,KURTA_COTTON_M,214,3
INV000281,M001,WH_NORTH,DRESS_BLUE_M,99,23
INV000282,M001,WH_WEST,SAREE_SILK_RED,56,21
INV000283,M001,WH_SOUTHWEST,SAREE_COTTON_BLUE,60,2
INV000284,M001,WH_NORTH,JEANS_BLUE_32,35,21
INV000285,M001,WH_SOUTH,DRESS_BLUE_M,280,10
INV000286,M001,WH_WEST,KURTA_COTTON_M,154,23
INV000287,M001,WH_NORTH,KURTA_COTTON_M,5,2
INV000288,M001,WH_NORTH,JACKET_DENIM_M,199,13
INV000289,M001,WH_EAST,SPORTS_TSHIRT_RED_M,278,67
INV000290,M001,WH_SOUTHWEST,FORMAL_SHIRT_BLUE_M,0,0
INV000291,M001,WH_SOUTHWEST,SNEAKERS_GREY_9,119,77
INV000292,M001,WH_SOUTHWEST,TSHIRT_BLACK_M,98,28
INV000293,M001,WH_SOUTHWEST,SAREE_COTTON_BLUE,16,8
INV000294,M001,WH_SOUTHWEST,SNEAKERS_GREY_8,112,25
INV000295,M001,WH_SOUTHWEST,TRACKPANTS_BLACK_M,32,13
INV000296,M001,WH_WEST,SHOES_WHITE_8,74,10
INV000297,M001,WH_EAST,WOMEN_TOP_PINK_M,288,25
INV000298,M001,WH_SOUTH,TSHIRT_BLACK_L,3,1
INV000299,M001,WH_NORTH,DRESS_BLUE_S,93,27
INV000300,M001,WH_SOUTH,SHOES_BLACK_8,204,30
INV000301,M001,WH_WEST,FORMAL_TROUSER_BLACK_34,64,62
INV000302,M001,WH_CENTRAL,HOODIE_GREY_M,416,1
INV000303,M001,WH_EAST,SPORTS_TSHIRT_RED_M,130,61
INV000304,M001,WH_SOUTHWEST,JEANS_BLUE_34,83,63
INV000305,M001,WH_CENTRAL,SHOES_BLACK_8,10,8
INV000306,M001,WH_SOUTH,WATCH_SPORT_SILVER,52,1
INV000307,M001,WH_SOUTHWEST,SPORTS_TSHIRT_RED_L,107,71
INV000308,M001,WH_CENTRAL,TSHIRT_BLACK_M,206,71
INV000309,M001,WH_NORTH,HOODIE_GREY_M,154,48
INV000310,M001,WH_EAST,SAREE_SILK_RED,446,43
INV000311,M001,WH_SOUTH,KURTA_COTTON_M,105,25
INV000312,M001,WH_SOUTH,WATCH_SPORT_SILVER,148,24
INV000313,M001,WH_CENTRAL,TSHIRT_BLACK_L,324,58
INV000314,M001,WH_CENTRAL,SUNGLASSES_BLACK,262,58
INV000315,M001,WH_NORTH,SNEAKERS_GREY_9,40,4
INV000316,M001,WH_NORTH,JACKET_DENIM_L,159,5
INV000317,M001,WH_NORTH,TSHIRT_BLACK_M,80,51
INV000318,M001,WH_NORTH,SNEAKERS_GREY_8,51,13
INV000319,M001,WH_SOUTHWEST,TRACKPANTS_BLACK_M,61,20
INV000320,M001,WH_EAST,HOODIE_GREY_M,212,40
INV000321,M001,WH_SOUTH,JACKET_DENIM_M,30,30
INV000322,M001,WH_NORTH,JACKET_DENIM_L,214,12
INV000323,M001,WH_WEST,TSHIRT_BLACK_M,231,50
INV000324,M001,WH_NORTH,JEANS_BLACK_34,90,61
INV000325,M001,WH_WEST,WOMEN_TOP_PINK_M,172,36
INV000326,M001,WH_SOUTH,WATCH_SPORT_SILVER,181,57
INV000327,M001,WH_SOUTHWEST,JEANS_BLUE_32,80,52
INV000328,M001,WH_SOUTHWEST,TRACKPANTS_BLACK_M,103,44
INV000329,M001,WH_SOUTH,FORMAL_SHIRT_BLUE_L,4,1
INV000330,M001,WH_CENTRAL,WOMEN_TOP_PINK_M,421,0
INV000331,M001,WH_SOUTHWEST,DRESS_RED_M,21,7
INV000332,M001,WH_CENTRAL,SHOES_BLACK_8,295,51
INV000333,M001,WH_WEST,JEANS_BLACK_32,187,57
INV000334,M001,WH_NORTH,HOODIE_GREY_M,64,59
INV000335,M001,WH_SOUTH,SNEAKERS_GREY_9,13,9
INV000336,M001,WH_SOUTH,TSHIRT_BLACK_M,154,2
INV000337,M001,WH_EAST,KURTA_COTTON_M,500,42
INV000338,M001,WH_NORTH,HOODIE_GREY_L,50,4
INV000339,M001,WH_SOUTH,KURTA_COTTON_L,150,72
INV000340,M001,WH_NORTH,DRESS_BLUE_M,90,33
INV000341,M001,WH_NORTH,SHOES_BLACK_8,32,26
INV000342,M001,WH_CENTRAL,KURTA_COTTON_M,380,71
INV000343,M001,WH_SOUTHWEST,TRACKPANTS_BLACK_M,72,48
INV000344,M001,WH_WEST,CAP_NAVY,100,45
INV000345,M001,WH_NORTH,TSHIRT_BLACK_L,185,67
INV000346,M001,WH_NORTH,WOMEN_TOP_PINK_M,198,56
INV000347,M001,WH_SOUTH,FORMAL_SHIRT_BLUE_M,32,2
INV000348,M001,WH_SOUTHWEST,CAP_NAVY,28,18
INV000349,M001,WH_WEST,HOODIE_GREY_M,67,37
INV000350,M001,WH_CENTRAL,WATCH_CLASSIC_BLACK,352,21
INV000351,M001,WH_EAST,TSHIRT_WHITE_L,54,18
INV000352,M001,WH_CENTRAL,FORMAL_SHIRT_BLUE_M,304,11
INV000353,M001,WH_SOUTH,WOMEN_TOP_PINK_M,124,29
INV000354,M001,WH_NORTH,HOODIE_GREY_L,0,0
INV000355,M001,WH_SOUTHWEST,SAREE_SILK_RED,37,10
INV000356,M001,WH_WEST,SUNGLASSES_BLACK,189,0
INV000357,M001,WH_CENTRAL,BACKPACK_GREY,2,2
INV000358,M001,WH_NORTH,SPORTS_TSHIRT_RED_L,80,74
INV000359,M001,WH_SOUTHWEST,JACKET_DENIM_M,43,31
INV000360,M001,WH_SOUTHWEST,SHOES_WHITE_8,82,21
INV000361,M001,WH_EAST,SAREE_COTTON_BLUE,12,5
INV000362,M001,WH_SOUTH,TSHIRT_BLACK_M,2,1
INV000363,M001,WH_NORTH,SAREE_SILK_RED,121,27
INV000364,M001,WH_CENTRAL,KURTA_COTTON_L,42,27
INV000365,M001,WH_CENTRAL,TSHIRT_BLACK_M,203,20
INV000366,M001,WH_SOUTHWEST,JEANS_BLUE_32,28,25
INV000367,M001,WH_CENTRAL,SHOES_WHITE_8,259,67
INV000368,M001,WH_CENTRAL,DRESS_BLUE_M,245,29
INV000369,M001,WH_SOUTHWEST,TSHIRT_WHITE_L,63,0
INV000370,M001,WH_EAST,SAREE_COTTON_BLUE,179,45
INV000371,M001,WH_NORTH,JACKET_DENIM_M,187,62
INV000372,M001,WH_SOUTHWEST,SPORTS_TSHIRT_RED_L,52,2
INV000373,M001,WH_SOUTH,JEANS_BLUE_32,300,62
INV000374,M001,WH_CENTRAL,SHOES_WHITE_8,395,23
INV000375,M001,WH_SOUTHWEST,JACKET_DENIM_M,41,15
INV000376,M001,WH_WEST,DRESS_BLUE_S,185,49
INV000377,M001,WH_WEST,FORMAL_SHIRT_BLUE_L,154,33
INV000378,M001,WH_NORTH,KURTA_COTTON_M,170,29
INV000379,M001,WH_CENTRAL,HOODIE_GREY_M,496,18
INV000380,M001,WH_WEST,DRESS_BLUE_S,32,31
INV000381,M001,WH_SOUTHWEST,SPORTS_TSHIRT_RED_L,46,39
INV000382,M001,WH_WEST,HOODIE_GREY_M,4,1
INV000383,M001,WH_EAST,JEANS_BLUE_34,235,3
INV000384,M001,WH_SOUTH,WATCH_SPORT_SILVER,52,33
INV000385,M001,WH_WEST,FORMAL_SHIRT_BLUE_L,173,71
INV000386,M001,WH_SOUTH,HOODIE_GREY_M,158,78
INV000387,M001,WH_WEST,PERFUME_100ML,124,25
INV000388,M001,WH_WEST,HOODIE_GREY_M,214,13
INV000389,M001,WH_CENTRAL,FORMAL_SHIRT_BLUE_M,463,32
INV000390,M001,WH_SOUTHWEST,WOMEN_TOP_PINK_M,113,23
INV000391,M001,WH_WEST,DRESS_BLUE_S,167,1
INV000392,M001,WH_SOUTH,SHOES_BLACK_8,274,68
INV000393,M001,WH_EAST,FORMAL_SHIRT_BLUE_M,459,28
INV000394,M001,WH_SOUTH,KURTA_COTTON_L,10,8
INV000395,M001,WH_WEST,DRESS_RED_M,229,8
INV000396,M001,WH_SOUTHWEST,JEANS_BLUE_32,19,1
INV000397,M001,WH_CENTRAL,SNEAKERS_GREY_8,346,51
INV000398,M001,WH_EAST,JEANS_BLUE_32,336,46
INV000399,M001,WH_CENTRAL,JEANS_BLUE_32,247,47
INV000400,M001,WH_SOUTHWEST,TRACKPANTS_BLACK_M,45,25
INV000401,M001,WH_CENTRAL,DRESS_RED_M,333,61
INV000402,M001,WH_WEST,TSHIRT_BLACK_M,2,0
