shipment_id,merchant_id,order_id,courier,shipment_status,delivery_attempts,rto_status,shipping_cost,delivery_days,pincode,area,city
SHP000023,M001,ORD000976,Xpressbees,delivered,3,no,126.27,2,560036,KR Puram,Bangalore
SHP000024,M001,ORD002396,Xpressbees,delivered,2,no,89.79,5,560100,Electronic City,Bangalore
SHP000025,M001,ORD001360,BlueDart,failed_delivery,2,no,186.91,4,560100,Electronic City,Bangalore
SHP000026,M001,ORD001648,Delhivery,rto,2,yes,149.04,9,560058,Peenya,Bangalore
SHP000027,M001,ORD004710,BlueDart,failed_delivery,2,no,134.41,6,560103,Bellandur,Bangalore
SHP000028,M001,ORD004489,Delhivery,in_transit,1,no,52.66,4,560066,Whitefield,Bangalore
SHP000029,M001,ORD002303,Delhivery,failed_delivery,2,no,186.7,8,560100,Electronic City,Bangalore
SHP000030,M001,ORD003703,Ecom Express,failed_delivery,2,no,205.48,6,560035,Sarjapur Road,Bangalore
SHP000031,M001,ORD000661,Delhivery,delivered,1,no,83.64,4,560038,Indiranagar,Bangalore
SHP000032,M001,ORD004675,Shiprocket,delivered,2,no,117.72,1,560066,Whitefield,Bangalore
SHP000033,M001,ORD003321,Xpressbees,delivered,1,no,126.76,5,560017,Old Airport Road,Bangalore
SHP000034,M001,ORD002482,Delhivery,delivered,1,no,62.71,1,560102,HSR Layout,Bangalore
SHP000035,M001,ORD002145,Ecom Express,in_transit,1,no,74.37,3,560102,HSR Layout,Bangalore
SHP000036,M001,ORD004419,BlueDart,delivered,2,no,132.57,3,560100,Electronic City,Bangalore
SHP000037,M001,ORD002857,Ecom Express,delivered,2,no,69.81,3,560008,Ulsoor,Bangalore
SHP000038,M001,ORD003810,BlueDart,delivered,2,no,149.25,5,560034,Koramangala,Bangalore
SHP000039,M001,ORD002891,Delhivery,delivered,1,no,52.8,2,560066,Whitefield,Bangalore
SHP000040,M001,ORD001064,Shiprocket,delivered,1,no,64.58,1,560040,Vijayanagar,Bangalore
SHP000041,M001,ORD002793,BlueDart,delivered,1,no,112.46,1,560034,Koramangala,Bangalore
SHP000042,M001,ORD004180,BlueDart,delivered,1,no,136.34,2,560035,Sarjapur Road,Bangalore
SHP000043,M001,ORD001036,Delhivery,delivered,2,no,192.86,5,560100,Electronic City,Bangalore
SHP000044,M001,ORD001037,Shiprocket,delivered,1,no,73.98,2,560040,Vijayanagar,Bangalore
SHP000045,M001,ORD004035,Delhivery,delivered,1,no,116.72,3,560066,Whitefield,Bangalore
SHP000046,M001,ORD004746,Xpressbees,in_transit,1,no,70.16,4,560071,Domlur,Bangalore
SHP000047,M001,ORD000693,Ecom Express,rto,1,yes,103.02,4,560038,Indiranagar,Bangalore
SHP000048,M001,ORD002840,BlueDart,delivered,1,no,129.57,5,560100,Electronic City,Bangalore
SHP000049,M001,ORD001965,Delhivery,in_transit,3,no,81.68,4,560038,Indiranagar,Bangalore
SHP000050,M001,ORD001375,BlueDart,delivered,1,no,90.53,5,560034,Koramangala,Bangalore
SHP000051,M001,ORD003748,BlueDart,rto,3,yes,143.3,3,560037,Marathahalli,Bangalore
SHP000052,M001,ORD001628,Xpressbees,failed_delivery,2,no,130.78,3,560102,HSR Layout,Bangalore
SHP000053,M001,ORD001009,Shiprocket,delivered,2,no,125.6,1,560102,HSR Layout,Bangalore
SHP000054,M001,ORD000385,Ecom Express,delivered,2,no,98.01,3,560024,Hebbal,Bangalore
SHP000055,M001,ORD003271,BlueDart,in_transit,2,no,115.74,3,560102,HSR Layout,Bangalore
SHP000056,M001,ORD000470,Ecom Express,failed_delivery,2,no,114.72,5,560071,Domlur,Bangalore
SHP000057,M001,ORD003378,Ecom Express,failed_delivery,1,no,164.51,8,560100,Electronic City,Bangalore
SHP000058,M001,ORD003051,Delhivery,delivered,2,no,53.35,2,560103,Bellandur,Bangalore
SHP000059,M001,ORD004752,Shiprocket,delivered,1,no,124.1,4,560036,KR Puram,Bangalore
SHP000060,M001,ORD002741,Delhivery,delivered,1,no,80.0,4,560098,RR Nagar,Bangalore
SHP000061,M001,ORD004730,Xpressbees,in_transit,1,no,110.6,1,560001,MG Road,Bangalore
SHP000062,M001,ORD003850,Xpressbees,delivered,1,no,147.79,5,560035,Sarjapur Road,Bangalore
SHP000063,M001,ORD004214,BlueDart,delivered,2,no,83.66,3,560076,BTM Layout,Bangalore
SHP000064,M001,ORD002786,BlueDart,delivered,1,no,98.79,3,560085,Banashankari,Bangalore
SHP000065,M001,ORD004790,BlueDart,delivered,1,no,46.24,2,560066,Whitefield,Bangalore
SHP000066,M001,ORD001866,Delhivery,in_transit,1,no,122.73,3,560036,KR Puram,Bangalore
SHP000067,M001,ORD003975,Xpressbees,delivered,2,no,99.06,1,560102,HSR Layout,Bangalore
SHP000068,M001,ORD004397,Ecom Express,in_transit,1,no,132.08,1,560003,Malleshwaram,Bangalore
SHP000069,M001,ORD003534,BlueDart,delivered,2,no,91.33,5,560102,HSR Layout,Bangalore
SHP000070,M001,ORD000120,Xpressbees,delivered,1,no,74.26,1,560038,Indiranagar,Bangalore
SHP000071,M001,ORD003320,Shiprocket,delivered,1,no,147.5,5,560037,Marathahalli,Bangalore
SHP000072,M001,ORD004469,Shiprocket,delivered,1,no,119.94,4,560071,Domlur,Bangalore
SHP000073,M001,ORD002180,Ecom Express,in_transit,1,no,71.77,1,560102,HSR Layout,Bangalore
SHP000074,M001,ORD001087,Xpressbees,failed_delivery,1,no,122.5,5,560035,Sarjapur Road,Bangalore
SHP000075,M001,ORD000951,Xpressbees,delivered,1,no,93.01,2,560103,Bellandur,Bangalore
SHP000076,M001,ORD000896,Delhivery,delivered,1,no,80.44,3,560066,Whitefield,Bangalore
SHP000077,M001,ORD004387,Ecom Express,delivered,1,no,109.49,2,560036,KR Puram,Bangalore
SHP000078,M001,ORD003890,Ecom Express,delivered,1,no,129.35,2,560048,Mahadevapura,Bangalore
SHP000079,M001,ORD004092,Shiprocket,delivered,1,no,87.51,3,560066,Whitefield,Bangalore
SHP000080,M001,ORD004201,Delhivery,in_transit,2,no,123.6,4,560066,Whitefield,Bangalore
SHP000081,M001,ORD004823,BlueDart,delivered,1,no,122.34,2,560071,Domlur,Bangalore
SHP000082,M001,ORD003242,Xpressbees,rto,2,yes,110.93,5,560076,Bannerghatta Road,Bangalore
SHP000083,M001,ORD001201,Xpressbees,failed_delivery,2,no,88.13,3,560034,Koramangala,Bangalore
SHP000084,M001,ORD000697,BlueDart,delivered,3,no,127.93,4,560066,Whitefield,Bangalore
SHP000085,M001,ORD001069,BlueDart,delivered,2,no,94.51,2,560004,Basavanagudi,Bangalore
SHP000086,M001,ORD001163,Xpressbees,rto,3,yes,115.86,3,560066,Whitefield,Bangalore
SHP000087,M001,ORD000376,Xpressbees,delivered,1,no,113.38,1,560037,Marathahalli,Bangalore
SHP000088,M001,ORD000846,Xpressbees,delivered,1,no,97.58,3,560038,Indiranagar,Bangalore
SHP000089,M001,ORD004622,Ecom Express,in_transit,2,no,105.95,1,560041,Jayanagar,Bangalore
SHP000090,M001,ORD001983,Xpressbees,delivered,1,no,99.85,3,560103,Bellandur,Bangalore
SHP000091,M001,ORD004801,Xpressbees,failed_delivery,1,no,85.47,7,560037,Marathahalli,Bangalore
SHP000092,M001,ORD002025,Delhivery,delivered,1,no,78.42,2,560071,Domlur,Bangalore
SHP000093,M001,ORD000940,Ecom Express,delivered,2,no,73.94,1,560085,Banashankari,Bangalore
SHP000094,M001,ORD001213,Shiprocket,delivered,1,no,137.6,3,560064,Jakkur,Bangalore
SHP000095,M001,ORD002367,Xpressbees,delivered,2,no,72.52,4,560071,Domlur,Bangalore
SHP000096,M001,ORD002504,Xpressbees,rto,3,yes,101.87,3,560076,BTM Layout,Bangalore
SHP000097,M001,ORD004060,Ecom Express,delivered,1,no,118.54,2,560048,Mahadevapura,Bangalore
SHP000098,M001,ORD002055,Delhivery,delivered,2,no,123.3,3,560008,Ulsoor,Bangalore
SHP000099,M001,ORD001583,BlueDart,rto,3,yes,142.87,3,560100,Electronic City,Bangalore
SHP000100,M001,ORD000734,Shiprocket,failed_delivery,2,no,90.31,3,560008,Ulsoor,Bangalore
SHP000101,M001,ORD001807,Xpressbees,failed_delivery,1,no,45.31,8,560034,Koramangala,Bangalore
SHP000102,M001,ORD003107,Shiprocket,failed_delivery,1,no,60.13,5,560103,Bellandur,Bangalore
SHP000103,M001,ORD000782,Xpressbees,rto,2,yes,119.91,7,560035,Sarjapur Road,Bangalore
SHP000104,M001,ORD000050,Ecom Express,delivered,1,no,77.9,5,560037,Marathahalli,Bangalore
SHP000105,M001,ORD003235,Delhivery,rto,1,yes,56.04,7,560037,Brookefield,Bangalore
SHP000106,M001,ORD000357,Xpressbees,delivered,1,no,89.52,2,560035,Sarjapur Road,Bangalore
SHP000107,M001,ORD003406,Ecom Express,delivered,2,no,144.02,2,560038,Indiranagar,Bangalore
SHP000108,M001,ORD004690,BlueDart,delivered,2,no,105.96,4,560038,Indiranagar,Bangalore
SHP000109,M001,ORD003017,Shiprocket,delivered,1,no,121.14,2,560100,Electronic City,Bangalore
SHP000110,M001,ORD002834,Shiprocket,in_transit,1,no,99.14,3,560102,HSR Layout,Bangalore
SHP000111,M001,ORD000058,Xpressbees,failed_delivery,1,no,141.69,3,560038,Indiranagar,Bangalore
SHP000112,M001,ORD003240,Shiprocket,in_transit,1,no,184.18,1,560100,Electronic City,Bangalore
SHP000113,M001,ORD004558,Xpressbees,delivered,2,no,109.69,3,560066,Whitefield,Bangalore
SHP000114,M001,ORD003352,BlueDart,delivered,3,no,74.8,3,560003,Malleshwaram,Bangalore
SHP000115,M001,ORD000511,Ecom Express,delivered,1,no,92.67,2,560037,Marathahalli,Bangalore
SHP000116,M001,ORD000239,Ecom Express,in_transit,1,no,105.91,1,560037,Brookefield,Bangalore
SHP000117,M001,ORD001906,Shiprocket,delivered,2,no,121.79,4,560098,RR Nagar,Bangalore
SHP000118,M001,ORD004650,BlueDart,delivered,1,no,110.88,2,560103,Bellandur,Bangalore
SHP000119,M001,ORD002101,Ecom Express,delivered,1,no,122.29,5,560103,Bellandur,Bangalore
SHP000120,M001,ORD000419,Xpressbees,delivered,3,no,97.86,4,560017,Old Airport Road,Bangalore
SHP000121,M001,ORD004044,Ecom Express,delivered,2,no,75.74,5,560037,Marathahalli,Bangalore
SHP000122,M001,ORD001940,BlueDart,delivered,1,no,86.36,2,560017,Old Airport Road,Bangalore
SHP000123,M001,ORD000792,Ecom Express,delivered,1,no,78.98,5,560008,Ulsoor,Bangalore
SHP000124,M001,ORD002582,BlueDart,delivered,2,no,131.8,3,560071,Domlur,Bangalore
SHP000125,M001,ORD003753,Shiprocket,delivered,1,no,126.12,1,560041,Jayanagar,Bangalore
SHP000126,M001,ORD004475,BlueDart,delivered,1,no,125.77,4,560103,Bellandur,Bangalore
SHP000127,M001,ORD001113,Delhivery,delivered,2,no,48.39,2,560041,Jayanagar,Bangalore
SHP000128,M001,ORD004254,Delhivery,delivered,2,no,79.87,3,560037,Brookefield,Bangalore
SHP000129,M001,ORD004979,Shiprocket,delivered,2,no,140.43,1,560071,Domlur,Bangalore
SHP000130,M001,ORD002135,Delhivery,delivered,1,no,45.63,3,560066,Whitefield,Bangalore
SHP000131,M001,ORD003627,Xpressbees,failed_delivery,1,no,169.54,9,560100,Electronic City,Bangalore
SHP000132,M001,ORD004725,Shiprocket,delivered,1,no,148.3,4,560060,Kengeri,Bangalore
SHP000133,M001,ORD003742,Shiprocket,in_transit,1,no,113.18,4,560048,Mahadevapura,Bangalore
SHP000134,M001,ORD001621,Delhivery,delivered,2,no,83.02,5,560008,Ulsoor,Bangalore
SHP000135,M001,ORD004133,BlueDart,delivered,1,no,213.56,1,560100,Electronic City,Bangalore
SHP000136,M001,ORD001577,Delhivery,delivered,1,no,60.71,1,560078,JP Nagar,Bangalore
SHP000137,M001,ORD002090,Delhivery,in_transit,1,no,95.68,4,560066,Whitefield,Bangalore
SHP000138,M001,ORD004721,Xpressbees,delivered,2,no,130.26,3,560076,Bannerghatta Road,Bangalore
SHP000139,M001,ORD004225,Delhivery,delivered,1,no,141.98,5,560037,Brookefield,Bangalore
SHP000140,M001,ORD003838,Shiprocket,delivered,1,no,178.66,5,560100,Electronic City,Bangalore
SHP000141,M001,ORD001137,Delhivery,delivered,2,no,50.73,3,560040,Vijayanagar,Bangalore
SHP000142,M001,ORD004503,Shiprocket,delivered,1,no,47.27,1,560041,Jayanagar,Bangalore
SHP000143,M001,ORD001189,BlueDart,delivered,2,no,165.59,4,560035,Sarjapur Road,Bangalore
SHP000144,M001,ORD000302,Xpressbees,failed_delivery,1,no,55.55,6,560103,Bellandur,Bangalore
SHP000145,M001,ORD004361,Ecom Express,in_transit,1,no,46.39,1,560066,Whitefield,Bangalore
SHP000146,M001,ORD001390,Shiprocket,delivered,2,no,106.3,1,560034,Koramangala,Bangalore
SHP000147,M001,ORD001833,Ecom Express,in_transit,2,no,73.6,2,560041,Jayanagar,Bangalore
SHP000148,M001,ORD001605,Xpressbees,delivered,2,no,65.08,5,560017,Old Airport Road,Bangalore
SHP000149,M001,ORD000996,BlueDart,rto,1,yes,113.15,3,560066,Whitefield,Bangalore
SHP000150,M001,ORD002270,Xpressbees,failed_delivery,3,no,100.86,7,560035,Sarjapur Road,Bangalore
SHP000151,M001,ORD004613,Delhivery,delivered,1,no,81.15,1,560066,Whitefield,Bangalore
SHP000152,M001,ORD000803,Delhivery,delivered,1,no,57.14,3,560008,Ulsoor,Bangalore
SHP000153,M001,ORD000701,Xpressbees,rto,2,yes,184.09,5,560100,Electronic City,Bangalore
SHP000154,M001,ORD003529,Xpressbees,in_transit,2,no,93.14,1,560034,Koramangala,Bangalore
SHP000155,M001,ORD003792,Xpressbees,delivered,2,no,96.85,2,560102,HSR Layout,Bangalore
SHP000156,M001,ORD002719,BlueDart,delivered,2,no,64.31,2,560008,Ulsoor,Bangalore
SHP000157,M001,ORD001424,Shiprocket,rto,1,yes,170.92,6,560100,Electronic City,Bangalore
SHP000158,M001,ORD004958,Delhivery,delivered,3,no,91.34,4,560100,Electronic City,Bangalore
SHP000159,M001,ORD004981,BlueDart,delivered,1,no,143.54,5,560103,Bellandur,Bangalore
SHP000160,M001,ORD003799,Ecom Express,delivered,1,no,71.14,4,560048,Mahadevapura,Bangalore
SHP000161,M001,ORD002885,Xpressbees,failed_delivery,3,no,114.96,4,560064,Yelahanka,Bangalore
SHP000162,M001,ORD000137,Shiprocket,delivered,1,no,58.58,4,560008,Ulsoor,Bangalore
SHP000163,M001,ORD001043,Ecom Express,rto,1,yes,131.89,9,560103,Bellandur,Bangalore
SHP000164,M001,ORD000150,Ecom Express,in_transit,1,no,139.6,4,560103,Bellandur,Bangalore
SHP000165,M001,ORD001222,Delhivery,delivered,1,no,205.64,3,560100,Electronic City,Bangalore
SHP000166,M001,ORD000992,Shiprocket,delivered,1,no,53.27,2,560048,Mahadevapura,Bangalore
SHP000167,M001,ORD004379,Delhivery,delivered,1,no,148.52,2,560076,BTM Layout,Bangalore
SHP000168,M001,ORD002587,Ecom Express,delivered,1,no,109.86,4,560038,Indiranagar,Bangalore
SHP000169,M001,ORD001136,Shiprocket,delivered,1,no,60.44,2,560037,Marathahalli,Bangalore
SHP000170,M001,ORD001073,Xpressbees,delivered,1,no,52.42,3,560066,Whitefield,Bangalore
SHP000171,M001,ORD002858,Xpressbees,delivered,1,no,139.84,5,560017,Old Airport Road,Bangalore
SHP000172,M001,ORD004754,Delhivery,rto,2,yes,119.27,8,560036,KR Puram,Bangalore
SHP000173,M001,ORD001747,Shiprocket,rto,2,yes,54.8,8,560103,Bellandur,Bangalore
SHP000174,M001,ORD003522,BlueDart,delivered,1,no,176.51,2,560100,Electronic City,Bangalore
SHP000175,M001,ORD004695,Delhivery,delivered,1,no,175.13,5,560060,Kengeri,Bangalore
SHP000176,M001,ORD000971,Xpressbees,in_transit,2,no,151.35,1,560058,Peenya,Bangalore
SHP000177,M001,ORD002518,Shiprocket,delivered,1,no,111.19,1,560076,BTM Layout,Bangalore
SHP000178,M001,ORD000722,Shiprocket,in_transit,1,no,138.75,2,560048,Mahadevapura,Bangalore
SHP000179,M001,ORD004331,Ecom Express,delivered,1,no,114.8,5,560035,Sarjapur Road,Bangalore
SHP000180,M001,ORD000261,Ecom Express,rto,3,yes,150.14,6,560035,Sarjapur Road,Bangalore
SHP000181,M001,ORD001790,Delhivery,in_transit,2,no,142.15,2,560034,Koramangala,Bangalore
SHP000182,M001,ORD003681,BlueDart,in_transit,2,no,90.12,4,560066,Whitefield,Bangalore
SHP000183,M001,ORD001753,Xpressbees,delivered,1,no,50.03,2,560103,Bellandur,Bangalore
SHP000184,M001,ORD001022,Shiprocket,delivered,1,no,106.02,5,560037,Brookefield,Bangalore
SHP000185,M001,ORD002358,Shiprocket,delivered,2,no,45.22,4,560071,Domlur,Bangalore
SHP000186,M001,ORD003003,Xpressbees,failed_delivery,3,no,140.76,7,560038,Indiranagar,Bangalore
SHP000187,M001,ORD002024,Delhivery,delivered,1,no,120.4,2,560034,Koramangala,Bangalore
SHP000188,M001,ORD001289,Shiprocket,delivered,2,no,144.62,1,560066,Whitefield,Bangalore
SHP000189,M001,ORD004713,BlueDart,in_transit,1,no,104.52,1,560103,Bellandur,Bangalore
SHP000190,M001,ORD001591,BlueDart,delivered,1,no,76.22,3,560010,Rajajinagar,Bangalore
SHP000191,M001,ORD000267,Delhivery,delivered,1,no,52.04,4,560103,Bellandur,Bangalore
SHP000192,M001,ORD004017,Ecom Express,delivered,1,no,56.04,1,560008,Ulsoor,Bangalore
SHP000193,M001,ORD000095,Shiprocket,delivered,1,no,78.76,3,560048,Mahadevapura,Bangalore
SHP000194,M001,ORD002843,BlueDart,delivered,1,no,115.65,2,560035,Sarjapur Road,Bangalore
SHP000195,M001,ORD004465,Ecom Express,delivered,1,no,108.75,2,560102,HSR Layout,Bangalore
SHP000196,M001,ORD003744,Xpressbees,delivered,2,no,77.56,3,560103,Bellandur,Bangalore
SHP000197,M001,ORD001054,Xpressbees,delivered,2,no,80.09,5,560066,Whitefield,Bangalore
SHP000198,M001,ORD003088,Ecom Express,delivered,1,no,132.3,3,560037,Marathahalli,Bangalore
SHP000199,M001,ORD001554,Xpressbees,delivered,2,no,210.82,5,560035,Sarjapur Road,Bangalore
SHP000200,M001,ORD003066,Xpressbees,delivered,1,no,181.14,2,560100,Electronic City,Bangalore
SHP000201,M001,ORD003458,Ecom Express,rto,1,yes,63.96,4,560076,BTM Layout,Bangalore
SHP000202,M001,ORD000448,Xpressbees,failed_delivery,1,no,142.46,6,560035,Sarjapur Road,Bangalore
SHP000203,M001,ORD004814,Shiprocket,delivered,1,no,58.31,2,560034,Koramangala,Bangalore
SHP000204,M001,ORD004938,Delhivery,in_transit,1,no,96.09,1,560066,Whitefield,Bangalore
SHP000205,M001,ORD004307,BlueDart,delivered,1,no,78.24,1,560076,Bannerghatta Road,Bangalore
SHP000206,M001,ORD000751,Shiprocket,rto,3,yes,50.95,5,560064,Jakkur,Bangalore
SHP000207,M001,ORD002198,Ecom Express,failed_delivery,3,no,136.84,9,560100,Electronic City,Bangalore
SHP000208,M001,ORD001855,Shiprocket,delivered,1,no,119.68,4,560003,Malleshwaram,Bangalore
SHP000209,M001,ORD001696,Xpressbees,in_transit,1,no,115.46,2,560036,KR Puram,Bangalore
SHP000210,M001,ORD002547,BlueDart,in_transit,1,no,74.45,2,560003,Malleshwaram,Bangalore
SHP000211,M001,ORD002444,Xpressbees,delivered,2,no,148.56,1,560066,Whitefield,Bangalore
SHP000212,M001,ORD003156,Xpressbees,delivered,1,no,204.63,3,560100,Electronic City,Bangalore
SHP000213,M001,ORD004618,Delhivery,in_transit,1,no,108.58,4,560037,Brookefield,Bangalore
SHP000214,M001,ORD001959,Ecom Express,delivered,1,no,71.16,2,560036,KR Puram,Bangalore
SHP000215,M001,ORD004121,Delhivery,rto,1,yes,145.45,3,560100,Electronic City,Bangalore
SHP000216,M001,ORD003250,Delhivery,delivered,1,no,138.88,3,560103,Bellandur,Bangalore
SHP000217,M001,ORD002809,Shiprocket,in_transit,1,no,90.58,2,560036,KR Puram,Bangalore
SHP000218,M001,ORD000372,Xpressbees,delivered,2,no,60.92,1,560076,Bannerghatta Road,Bangalore
SHP000219,M001,ORD004016,Ecom Express,delivered,2,no,125.03,5,560103,Bellandur,Bangalore
SHP000220,M001,ORD004089,Delhivery,failed_delivery,1,no,131.96,3,560102,HSR Layout,Bangalore
SHP000221,M001,ORD002990,Ecom Express,failed_delivery,2,no,102.49,8,560102,HSR Layout,Bangalore
SHP000222,M001,ORD004023,Xpressbees,delivered,1,no,114.24,3,560008,Ulsoor,Bangalore
SHP000223,M001,ORD003671,Delhivery,rto,2,yes,94.61,5,560066,Whitefield,Bangalore
SHP000224,M001,ORD001578,Ecom Express,delivered,1,no,137.74,4,560034,Koramangala,Bangalore
SHP000225,M001,ORD001936,Shiprocket,failed_delivery,1,no,51.35,6,560103,Bellandur,Bangalore
SHP000226,M001,ORD002965,Ecom Express,delivered,1,no,147.17,3,560103,Bellandur,Bangalore
SHP000227,M001,ORD000123,Xpressbees,delivered,2,no,87.86,3,560085,Banashankari,Bangalore
SHP000228,M001,ORD001145,Delhivery,delivered,2,no,60.31,5,560034,Koramangala,Bangalore
SHP000229,M001,ORD000689,Delhivery,delivered,1,no,134.25,4,560017,Old Airport Road,Bangalore
SHP000230,M001,ORD004819,Delhivery,rto,2,yes,78.31,4,560037,Brookefield,Bangalore
SHP000231,M001,ORD001281,Shiprocket,delivered,2,no,149.77,1,560024,Hebbal,Bangalore
SHP000232,M001,ORD004020,Ecom Express,in_transit,1,no,181.9,4,560035,Sarjapur Road,Bangalore
SHP000233,M001,ORD003768,Shiprocket,failed_delivery,2,no,56.36,6,560103,Bellandur,Bangalore
SHP000234,M001,ORD001356,BlueDart,delivered,1,no,92.69,4,560037,Marathahalli,Bangalore
SHP000235,M001,ORD000299,Shiprocket,in_transit,2,no,103.72,2,560037,Brookefield,Bangalore
SHP000236,M001,ORD003166,Delhivery,delivered,1,no,62.76,5,560008,Ulsoor,Bangalore
SHP000237,M001,ORD000402,Ecom Express,delivered,1,no,58.14,2,560066,Whitefield,Bangalore
SHP000238,M001,ORD004418,Delhivery,delivered,2,no,134.8,2,560036,KR Puram,Bangalore
SHP000239,M001,ORD004967,Delhivery,delivered,2,no,61.37,5,560010,Rajajinagar,Bangalore
SHP000240,M001,ORD002641,Ecom Express,rto,2,yes,106.51,6,560048,Mahadevapura,Bangalore
SHP000241,M001,ORD000581,Delhivery,delivered,1,no,103.92,5,560066,Whitefield,Bangalore
SHP000242,M001,ORD004491,Ecom Express,delivered,1,no,159.06,5,560060,Kengeri,Bangalore
SHP000243,M001,ORD002559,BlueDart,delivered,1,no,110.07,5,560017,Old Airport Road,Bangalore
SHP000244,M001,ORD004108,Delhivery,delivered,1,no,154.11,1,560058,Peenya,Bangalore
SHP000245,M001,ORD001858,Xpressbees,delivered,1,no,74.65,1,560048,Mahadevapura,Bangalore
SHP000246,M001,ORD003054,Ecom Express,delivered,1,no,56.4,1,560066,Whitefield,Bangalore
SHP000247,M001,ORD001447,BlueDart,in_transit,2,no,106.45,3,560076,Bannerghatta Road,Bangalore
SHP000248,M001,ORD003820,Shiprocket,delivered,1,no,133.13,2,560034,Koramangala,Bangalore
SHP000249,M001,ORD000396,Delhivery,delivered,1,no,130.69,5,560071,Domlur,Bangalore
SHP000250,M001,ORD003774,Delhivery,failed_delivery,1,no,74.77,8,560037,Marathahalli,Bangalore
SHP000251,M001,ORD001135,Shiprocket,delivered,2,no,135.12,5,560103,Bellandur,Bangalore
SHP000252,M001,ORD002659,Ecom Express,delivered,1,no,129.35,3,560035,Sarjapur Road,Bangalore
SHP000253,M001,ORD003105,Ecom Express,failed_delivery,1,no,109.21,6,560004,Basavanagudi,Bangalore
SHP000254,M001,ORD001072,Ecom Express,delivered,1,no,74.55,5,560034,Koramangala,Bangalore
SHP000255,M001,ORD004118,Xpressbees,rto,2,yes,94.26,7,560038,Indiranagar,Bangalore
SHP000256,M001,ORD001292,Delhivery,delivered,1,no,45.49,1,560037,Brookefield,Bangalore
SHP000257,M001,ORD002831,BlueDart,delivered,1,no,120.51,3,560103,Bellandur,Bangalore
SHP000258,M001,ORD004093,Delhivery,delivered,2,no,122.12,2,560036,KR Puram,Bangalore
SHP000259,M001,ORD001904,BlueDart,delivered,1,no,137.5,3,560041,Jayanagar,Bangalore
SHP000260,M001,ORD002884,Delhivery,delivered,1,no,47.73,5,560102,HSR Layout,Bangalore
SHP000261,M001,ORD002878,Shiprocket,delivered,1,no,124.9,4,560034,Koramangala,Bangalore
SHP000262,M001,ORD002975,Shiprocket,delivered,1,no,78.37,5,560041,Jayanagar,Bangalore
SHP000263,M001,ORD000154,Xpressbees,delivered,1,no,135.84,1,560003,Malleshwaram,Bangalore
SHP000264,M001,ORD003899,Shiprocket,delivered,1,no,106.93,3,560071,Domlur,Bangalore
SHP000265,M001,ORD000620,BlueDart,in_transit,1,no,96.4,2,560037,Marathahalli,Bangalore
SHP000266,M001,ORD004437,Xpressbees,delivered,1,no,154.7,3,560058,Peenya,Bangalore
SHP000267,M001,ORD002568,Xpressbees,failed_delivery,1,no,87.81,4,560103,Bellandur,Bangalore
SHP000268,M001,ORD001771,Delhivery,delivered,1,no,87.6,5,560048,Mahadevapura,Bangalore
