expense_id,merchant_id,expense_date,category,subcategory,amount,payment_mode,vendor_name,approval_status
EXP000025,M001,2024-01-17,shipping,air_freight,7347.33,card,AdGrowth Marketing,rejected
EXP000026,M001,2024-09-24,marketing,SEO,15041.2,bank_transfer,Shiprocket,approved
EXP000027,M001,2024-08-06,warehouse,equipment,10796.42,cash,Razorpay Fees,approved
EXP000028,M001,2024-08-24,marketing,SEO,2931.27,bank_transfer,Razorpay Fees,pending
EXP000029,M001,2024-06-08,marketing,digital_ads,16336.82,bank_transfer,Xpressbees,approved
EXP000030,M001,2024-06-26,marketing,influencer,27036.49,bank_transfer,Bangalore Packaging Co,approved
EXP000031,M001,2024-08-26,marketing,digital_ads,16334.42,UPI,Shiprocket,pending
EXP000032,M001,2024-04-29,refunds,partial_refund,6865.43,bank_transfer,Razorpay Fees,approved
EXP000033,M001,2024-07-02,marketing,SEO,25533.8,UPI,Cashfree Fees,approved
EXP000034,M001,2024-10-24,software,tools,3283.11,bank_transfer,Ecom Express,approved
EXP000035,M001,2024-04-04,warehouse,utilities,5159.6,bank_transfer,Bangalore Packaging Co,rejected
EXP000036,M001,2024-02-23,marketing,SEO,24143.24,bank_transfer,Urban Warehouse Services,pending
EXP000037,M001,2024-08-04,salaries,full_time,34306.35,UPI,Cashfree Fees,approved
EXP000038,M001,2024-04-14,warehouse,equipment,2938.4,card,Cashfree Fees,pending
EXP000039,M001,2024-07-28,payment_gateway,transaction_fee,1910.92,card,AdGrowth Marketing,pending
EXP000040,M001,2024-08-19,shipping,surface,9048.98,bank_transfer,AdGrowth Marketing,approved
EXP000041,M001,2024-05-01,refunds,customer_refund,3282.82,card,AdGrowth Marketing,approved
EXP000042,M001,2024-02-20,shipping,last_mile,7745.32,card,BlueDart,pending
EXP000043,M001,2024-08-07,salaries,contract,12667.77,bank_transfer,Bangalore Packaging Co,approved
EXP000044,M001,2024-11-19,returns,restocking,765.28,UPI,Cashfree Fees,approved
EXP000045,M001,2024-09-02,shipping,air_freight,13718.59,UPI,Shiprocket,approved
EXP000046,M001,2024-06-05,shipping,air_freight,9007.92,bank_transfer,Xpressbees,approved
EXP000047,M001,2024-12-28,salaries,full_time,39587.77,UPI,Razorpay Fees,approved
EXP000048,M001,2024-06-04,shipping,surface,4801.67,bank_transfer,Urban Warehouse Services,rejected
EXP000049,M001,2024-04-22,payment_gateway,dispute_fee,5551.77,card,BlueDart,approved
EXP000050,M001,2024-12-19,shipping,last_mile,8312.54,UPI,Shiprocket,approved
EXP000051,M001,2024-11-25,salaries,overtime,15765.76,card,Ecom Express,approved
EXP000052,M001,2024-03-10,shipping,reverse_logistics,14842.11,UPI,Ecom Express,approved
EXP000053,M001,2024-12-12,marketing,digital_ads,15963.55,card,Shiprocket,pending
EXP000054,M001,2024-06-26,salaries,contract,17301.21,bank_transfer,Bangalore Packaging Co,pending
EXP000055,M001,2024-01-24,warehouse,equipment,28176.97,bank_transfer,BlueDart,approved
EXP000056,M001,2024-02-20,shipping,surface,4107.55,card,Urban Warehouse Services,approved
EXP000057,M001,2024-10-06,salaries,contract,32109.47,card,BlueDart,approved
EXP000058,M001,2024-06-14,marketing,SEO,22176.97,bank_transfer,Ecom Express,approved
EXP000059,M001,2024-08-23,software,licenses,1170.17,bank_transfer,Urban Warehouse Services,approved
EXP000060,M001,2024-12-20,salaries,full_time,20794.88,UPI,AdGrowth Marketing,rejected
EXP000061,M001,2024-10-26,salaries,overtime,8869.08,card,Bangalore Packaging Co,approved
EXP000062,M001,2024-05-01,returns,quality_check,3097.04,UPI,AdGrowth Marketing,approved
EXP000063,M001,2024-04-19,warehouse,equipment,10331.13,UPI,Shiprocket,approved
EXP000064,M001,2024-11-18,marketing,influencer,18767.22,card,Razorpay Fees,approved
EXP000065,M001,2024-12-01,shipping,surface,9665.49,card,Xpressbees,approved
EXP000066,M001,2024-02-24,cloud,AWS,4123.45,UPI,Bangalore Packaging Co,pending
EXP000067,M001,2024-01-21,marketing,SEO,15867.94,card,AdGrowth Marketing,approved
EXP000068,M001,2024-09-01,shipping,surface,15328.94,bank_transfer,Xpressbees,approved
EXP000069,M001,2024-02-18,shipping,reverse_logistics,8101.03,card,Cashfree Fees,approved
EXP000070,M001,2024-06-07,refunds,partial_refund,4940.3,cash,Ecom Express,pending
EXP000071,M001,2024-01-26,marketing,email_campaigns,18874.74,UPI,AdGrowth Marketing,approved
EXP000072,M001,2024-03-29,packaging,boxes,9010.32,card,Xpressbees,pending
EXP000073,M001,2024-11-14,returns,quality_check,9833.11,UPI,Cashfree Fees,approved
EXP000074,M001,2024-05-26,shipping,air_freight,11089.26,card,Ecom Express,pending
EXP000075,M001,2024-01-01,refunds,partial_refund,2364.13,bank_transfer,Shiprocket,pending
EXP000076,M001,2024-10-15,salaries,full_time,8042.98,cash,Delhivery,approved
EXP000077,M001,2024-11-19,salaries,full_time,15445.25,UPI,Bangalore Packaging Co,approved
EXP000078,M001,2024-05-13,warehouse,rent,28898.87,card,Cashfree Fees,approved
EXP000079,M001,2024-06-23,refunds,customer_refund,735.12,card,Shiprocket,approved
EXP000080,M001,2024-04-06,refunds,customer_refund,9273.83,card,Shiprocket,approved
EXP000081,M001,2024-10-27,warehouse,rent,15483.48,bank_transfer,Cashfree Fees,pending
EXP000082,M001,2024-05-01,warehouse,staff,22249.84,card,Delhivery,approved
EXP000083,M001,2024-12-20,cloud,Azure,1896.04,card,Shiprocket,approved
EXP000084,M001,2024-12-28,warehouse,equipment,5815.96,bank_transfer,Urban Warehouse Services,approved
EXP000085,M001,2024-03-18,shipping,air_freight,15165.43,bank_transfer,Xpressbees,approved
EXP000086,M001,2024-05-07,payment_gateway,dispute_fee,8376.21,bank_transfer,BlueDart,pending
EXP000087,M001,2024-11-10,salaries,incentives,12841.69,UPI,Urban Warehouse Services,pending
EXP000088,M001,2024-09-07,shipping,last_mile,3881.32,UPI,Razorpay Fees,approved
EXP000089,M001,2024-08-09,refunds,partial_refund,5716.93,UPI,Delhivery,approved
EXP000090,M001,2024-10-20,salaries,full_time,21693.12,card,Delhivery,pending
EXP000091,M001,2024-10-20,packaging,labels,3317.44,card,AdGrowth Marketing,approved
EXP000092,M001,2024-10-31,packaging,boxes,9664.87,cash,Delhivery,pending
EXP000093,M001,2024-07-17,refunds,customer_refund,5329.56,bank_transfer,Xpressbees,approved
EXP000094,M001,2024-12-06,marketing,SEO,9675.5,bank_transfer,AdGrowth Marketing,approved
EXP000095,M001,2024-06-12,software,tools,4223.0,bank_transfer,AdGrowth Marketing,approved
EXP000096,M001,2024-11-19,shipping,reverse_logistics,4747.93,cash,Xpressbees,approved
EXP000097,M001,2024-11-21,salaries,full_time,6634.21,UPI,Cashfree Fees,approved
EXP000098,M001,2024-04-28,marketing,SEO,10853.46,bank_transfer,AdGrowth Marketing,approved
EXP000099,M001,2024-05-25,shipping,air_freight,3776.59,UPI,Bangalore Packaging Co,approved
EXP000100,M001,2024-05-06,marketing,SEO,18680.01,card,Razorpay Fees,pending
EXP000101,M001,2024-01-03,refunds,partial_refund,5131.19,UPI,Xpressbees,approved
EXP000102,M001,2024-01-24,refunds,partial_refund,9823.38,bank_transfer,Shiprocket,rejected
EXP000103,M001,2024-07-06,salaries,contract,38071.43,UPI,BlueDart,approved
EXP000104,M001,2024-03-05,returns,quality_check,6192.82,cash,Urban Warehouse Services,approved
EXP000105,M001,2024-09-11,refunds,chargeback,619.29,UPI,BlueDart,approved
EXP000106,M001,2024-08-26,shipping,reverse_logistics,13381.04,cash,Xpressbees,approved
EXP000107,M001,2024-04-06,software,SaaS,5044.74,UPI,Bangalore Packaging Co,approved
EXP000108,M001,2024-04-13,marketing,digital_ads,12929.21,bank_transfer,Delhivery,approved
EXP000109,M001,2024-04-05,shipping,last_mile,1788.82,cash,Delhivery,approved
EXP000110,M001,2024-12-30,shipping,last_mile,4281.9,UPI,Cashfree Fees,rejected
EXP000111,M001,2024-11-12,salaries,contract,33215.02,UPI,Delhivery,rejected
EXP000112,M001,2024-01-28,salaries,contract,35181.93,UPI,Ecom Express,approved
EXP000113,M001,2024-07-15,marketing,email_campaigns,2439.36,UPI,AdGrowth Marketing,approved
EXP000114,M001,2024-02-25,marketing,influencer,29723.48,UPI,Xpressbees,approved
EXP000115,M001,2024-06-16,shipping,surface,12770.82,card,Xpressbees,pending
EXP000116,M001,2024-05-01,cloud,storage,5420.49,UPI,Urban Warehouse Services,approved
EXP000117,M001,2024-08-12,salaries,overtime,36540.14,card,Razorpay Fees,approved
EXP000118,M001,2024-10-05,salaries,full_time,7602.02,bank_transfer,Xpressbees,rejected
EXP000119,M001,2024-07-17,salaries,incentives,18334.1,card,Razorpay Fees,approved
EXP000120,M001,2024-07-07,shipping,surface,7520.51,UPI,BlueDart,pending
EXP000121,M001,2024-12-26,shipping,surface,15319.05,bank_transfer,Delhivery,pending
EXP000122,M001,2024-05-15,shipping,air_freight,8313.24,card,Ecom Express,approved
EXP000123,M001,2024-07-07,software,tools,2977.1,bank_transfer,Ecom Express,approved
EXP000124,M001,2024-05-21,warehouse,utilities,3737.79,card,Ecom Express,approved
EXP000125,M001,2024-10-16,marketing,influencer,24055.26,card,Shiprocket,pending
EXP000126,M001,2024-10-12,cloud,GCP,3419.88,card,Ecom Express,approved
EXP000127,M001,2024-04-10,shipping,air_freight,8170.75,bank_transfer,Shiprocket,approved
EXP000128,M001,2024-06-30,shipping,air_freight,2462.93,bank_transfer,Shiprocket,approved
EXP000129,M001,2024-03-18,marketing,email_campaigns,28543.83,bank_transfer,Delhivery,approved
EXP000130,M001,2024-09-03,marketing,email_campaigns,5839.7,card,BlueDart,approved
EXP000131,M001,2024-03-18,salaries,incentives,30096.9,cash,Razorpay Fees,approved
EXP000132,M001,2024-11-03,marketing,influencer,25963.78,bank_transfer,Delhivery,rejected
EXP000133,M001,2024-02-27,salaries,incentives,35190.64,UPI,Delhivery,approved
EXP000134,M001,2024-01-07,salaries,contract,25450.53,bank_transfer,Urban Warehouse Services,approved
EXP000135,M001,2024-04-13,marketing,influencer,23595.16,UPI,AdGrowth Marketing,rejected
EXP000136,M001,2024-12-29,packaging,labels,9426.65,UPI,Shiprocket,approved
EXP000137,M001,2024-04-01,marketing,influencer,9260.32,card,Cashfree Fees,approved
EXP000138,M001,2024-07-05,returns,reverse_pickup,7562.05,bank_transfer,Urban Warehouse Services,approved
EXP000139,M001,2024-04-21,marketing,influencer,22564.29,bank_transfer,Xpressbees,approved
EXP000140,M001,2024-06-11,salaries,overtime,33248.12,bank_transfer,Delhivery,approved
EXP000141,M001,2024-11-08,salaries,contract,25051.64,bank_transfer,AdGrowth Marketing,approved
EXP000142,M001,2024-03-04,salaries,contract,31085.33,UPI,Xpressbees,approved
EXP000143,M001,2024-06-04,software,tools,742.22,bank_transfer,AdGrowth Marketing,approved
EXP000144,M001,2024-04-08,marketing,email_campaigns,22328.5,cash,Cashfree Fees,approved
EXP000145,M001,2024-12-30,marketing,influencer,7119.16,bank_transfer,Shiprocket,approved
EXP000146,M001,2024-09-21,refunds,chargeback,2271.07,card,Cashfree Fees,approved
EXP000147,M001,2024-05-23,refunds,chargeback,2287.32,bank_transfer,Bangalore Packaging Co,approved
EXP000148,M001,2024-02-10,cloud,storage,612.27,UPI,AdGrowth Marketing,approved
EXP000149,M001,2024-04-15,returns,reverse_pickup,8555.88,bank_transfer,Shiprocket,approved
EXP000150,M001,2024-07-08,warehouse,staff,27440.33,bank_transfer,Cashfree Fees,approved
EXP000151,M001,2024-10-04,marketing,email_campaigns,5919.44,card,Razorpay Fees,approved
EXP000152,M001,2024-06-03,salaries,full_time,19264.27,card,Razorpay Fees,pending
EXP000153,M001,2024-07-14,marketing,email_campaigns,2327.11,bank_transfer,Ecom Express,approved
EXP000154,M001,2024-05-20,marketing,SEO,5190.03,card,Razorpay Fees,rejected
EXP000155,M001,2024-05-04,warehouse,staff,16495.56,bank_transfer,Bangalore Packaging Co,approved
EXP000156,M001,2024-11-03,shipping,surface,4181.03,bank_transfer,Cashfree Fees,approved
EXP000157,M001,2024-11-12,shipping,last_mile,15365.37,card,BlueDart,approved
EXP000158,M001,2024-09-03,shipping,reverse_logistics,3024.44,UPI,Ecom Express,approved
EXP000159,M001,2024-12-17,warehouse,equipment,23919.35,bank_transfer,Ecom Express,approved
EXP000160,M001,2024-10-25,marketing,email_campaigns,22766.17,bank_transfer,BlueDart,pending
EXP000161,M001,2024-11-30,salaries,contract,20495.8,UPI,Delhivery,rejected
EXP000162,M001,2024-10-02,warehouse,rent,11718.65,bank_transfer,Cashfree Fees,approved
EXP000163,M001,2024-10-10,packaging,labels,9777.98,UPI,Razorpay Fees,approved
EXP000164,M001,2024-02-07,shipping,air_freight,5900.94,UPI,Delhivery,approved
EXP000165,M001,2024-01-27,warehouse,utilities,10383.88,UPI,Ecom Express,approved
EXP000166,M001,2024-01-31,payment_gateway,dispute_fee,4363.74,bank_transfer,Delhivery,rejected
EXP000167,M001,2024-05-16,refunds,partial_refund,4241.85,UPI,Urban Warehouse Services,approved
EXP000168,M001,2024-11-08,salaries,contract,31411.12,bank_transfer,AdGrowth Marketing,approved
EXP000169,M001,2024-04-27,shipping,air_freight,9973.92,UPI,Xpressbees,approved
EXP000170,M001,2024-02-11,marketing,email_campaigns,9267.54,bank_transfer,Xpressbees,approved
EXP000171,M001,2024-10-21,shipping,last_mile,12060.43,bank_transfer,AdGrowth Marketing,approved
EXP000172,M001,2024-03-29,shipping,surface,2650.95,card,Delhivery,approved
EXP000173,M001,2024-04-04,marketing,influencer,2309.55,cash,Shiprocket,approved
EXP000174,M001,2024-10-27,refunds,customer_refund,3664.31,UPI,Delhivery,approved
EXP000175,M001,2024-01-08,shipping,last_mile,6158.46,UPI,Xpressbees,approved
EXP000176,M001,2024-10-01,packaging,labels,317.81,cash,Xpressbees,approved
EXP000177,M001,2024-05-09,shipping,surface,3830.12,bank_transfer,Cashfree Fees,approved
EXP000178,M001,2024-01-01,warehouse,utilities,10578.38,cash,Shiprocket,approved
EXP000179,M001,2024-03-06,packaging,boxes,9810.14,card,BlueDart,rejected
EXP000180,M001,2024-08-28,refunds,partial_refund,5229.2,bank_transfer,Xpressbees,approved
EXP000181,M001,2024-07-29,shipping,last_mile,10162.91,bank_transfer,Urban Warehouse Services,approved
EXP000182,M001,2024-02-27,marketing,influencer,8959.77,bank_transfer,Shiprocket,approved
EXP000183,M001,2024-08-15,refunds,partial_refund,4909.19,card,Urban Warehouse Services,approved
EXP000184,M001,2024-11-19,marketing,SEO,24858.26,card,Delhivery,approved
EXP000185,M001,2024-09-14,marketing,email_campaigns,2776.6,card,Delhivery,pending
EXP000186,M001,2024-06-13,salaries,overtime,38086.8,UPI,AdGrowth Marketing,pending
EXP000187,M001,2024-02-20,marketing,SEO,18307.7,bank_transfer,BlueDart,approved
EXP000188,M001,2024-11-20,salaries,incentives,34406.67,bank_transfer,Razorpay Fees,approved
EXP000189,M001,2024-08-03,salaries,contract,29334.97,bank_transfer,Cashfree Fees,approved
EXP000190,M001,2024-11-05,shipping,surface,12860.79,bank_transfer,Bangalore Packaging Co,approved
EXP000191,M001,2024-07-18,shipping,surface,12505.66,card,AdGrowth Marketing,approved
EXP000192,M001,2024-11-27,warehouse,utilities,22610.3,UPI,Shiprocket,approved
EXP000193,M001,2024-01-19,salaries,overtime,24977.38,bank_transfer,AdGrowth Marketing,rejected
EXP000194,M001,2024-05-15,warehouse,utilities,25589.79,bank_transfer,Bangalore Packaging Co,approved
EXP000195,M001,2024-07-16,marketing,SEO,24082.61,bank_transfer,AdGrowth Marketing,approved
EXP000196,M001,2024-08-27,shipping,air_freight,15900.42,bank_transfer,Urban Warehouse Services,approved
EXP000197,M001,2024-08-04,payment_gateway,settlement_charge,4228.58,UPI,Shiprocket,pending
EXP000198,M001,2024-08-26,salaries,contract,26149.79,bank_transfer,Bangalore Packaging Co,approved
EXP000199,M001,2024-06-14,salaries,incentives,38744.47,card,BlueDart,pending
EXP000200,M001,2024-03-30,shipping,last_mile,10320.19,cash,Cashfree Fees,approved
EXP000201,M001,2024-03-16,returns,quality_check,9093.69,UPI,Cashfree Fees,approved
EXP000202,M001,2024-03-30,shipping,reverse_logistics,5645.63,UPI,Urban Warehouse Services,pending
EXP000203,M001,2024-04-20,marketing,email_campaigns,8244.76,bank_transfer,Shiprocket,approved
EXP000204,M001,2024-03-01,cloud,Azure,3126.13,bank_transfer,Ecom Express,approved
EXP000205,M001,2024-07-16,salaries,incentives,6048.23,bank_transfer,AdGrowth Marketing,pending
EXP000206,M001,2024-01-15,warehouse,utilities,27259.28,UPI,Bangalore Packaging Co,pending
EXP000207,M001,2024-02-22,salaries,overtime,8316.74,bank_transfer,Ecom Express,pending
EXP000208,M001,2024-08-22,shipping,surface,10201.49,card,Bangalore Packaging Co,approved
EXP000209,M001,2024-01-20,payment_gateway,settlement_charge,5590.32,UPI,Bangalore Packaging Co,approved
EXP000210,M001,2024-05-03,shipping,reverse_logistics,6496.3,bank_transfer,Ecom Express,approved
EXP000211,M001,2024-09-15,marketing,digital_ads,11732.14,card,AdGrowth Marketing,rejected
EXP000212,M001,2024-01-17,salaries,incentives,26172.21,UPI,Ecom Express,rejected
EXP000213,M001,2024-03-26,warehouse,utilities,29632.41,bank_transfer,Xpressbees,approved
EXP000214,M001,2024-10-18,warehouse,equipment,6893.03,bank_transfer,Delhivery,pending
EXP000215,M001,2024-05-08,packaging,boxes,6169.64,bank_transfer,Urban Warehouse Services,approved
EXP000216,M001,2024-01-16,payment_gateway,transaction_fee,7852.68,UPI,Xpressbees,approved
EXP000217,M001,2024-02-17,salaries,incentives,33397.37,UPI,Bangalore Packaging Co,approved
EXP000218,M001,2024-03-28,cloud,Azure,3296.55,cash,AdGrowth Marketing,approved
EXP000219,M001,2024-02-23,refunds,chargeback,8780.92,card,Bangalore Packaging Co,approved
EXP000220,M001,2024-06-22,shipping,surface,15207.35,card,BlueDart,approved
EXP000221,M001,2024-12-26,packaging,boxes,2516.02,UPI,Ecom Express,approved
EXP000222,M001,2024-03-02,returns,restocking,4526.22,bank_transfer,Urban Warehouse Services,approved
EXP000223,M001,2024-12-19,warehouse,staff,6232.71,cash,Shiprocket,pending
EXP000224,M001,2024-12-10,salaries,contract,17265.46,UPI,Cashfree Fees,approved
EXP000225,M001,2024-09-03,marketing,influencer,10737.26,bank_transfer,Urban Warehouse Services,approved
EXP000226,M001,2024-07-29,shipping,reverse_logistics,8839.95,bank_transfer,AdGrowth Marketing,pending
EXP000227,M001,2024-05-17,marketing,digital_ads,4006.63,UPI,Xpressbees,approved
EXP000228,M001,2024-10-19,packaging,boxes,9852.92,UPI,Bangalore Packaging Co,approved
EXP000229,M001,2024-01-16,warehouse,utilities,29442.33,bank_transfer,Razorpay Fees,pending
EXP000230,M001,2024-06-11,salaries,full_time,6818.95,bank_transfer,Shiprocket,approved
EXP000231,M001,2024-05-15,salaries,overtime,8809.86,card,Cashfree Fees,approved
EXP000232,M001,2024-02-03,software,SaaS,2595.29,bank_transfer,Ecom Express,approved
EXP000233,M001,2024-08-28,salaries,contract,20494.87,bank_transfer,BlueDart,rejected
EXP000234,M001,2024-07-08,returns,restocking,6106.29,bank_transfer,Bangalore Packaging Co,approved
EXP000235,M001,2024-02-22,warehouse,staff,22337.83,cash,Urban Warehouse Services,approved
EXP000236,M001,2024-04-18,salaries,overtime,22151.69,card,Delhivery,approved
EXP000237,M001,2024-08-31,marketing,influencer,13358.15,bank_transfer,Cashfree Fees,approved
EXP000238,M001,2024-08-31,marketing,SEO,27412.13,bank_transfer,Xpressbees,pending
EXP000239,M001,2024-06-11,packaging,labels,2394.38,UPI,Ecom Express,pending
EXP000240,M001,2024-05-22,shipping,surface,9511.75,card,Razorpay Fees,pending
EXP000241,M001,2024-01-11,refunds,partial_refund,100.0,bank_transfer,Shiprocket,approved
EXP000242,M001,2024-02-03,shipping,air_freight,5707.12,bank_transfer,Bangalore Packaging Co,pending
EXP000243,M001,2024-08-24,salaries,overtime,26445.79,card,AdGrowth Marketing,approved
EXP000244,M001,2024-07-27,packaging,boxes,8439.61,bank_transfer,Xpressbees,approved
EXP000245,M001,2024-04-17,shipping,surface,2514.75,bank_transfer,AdGrowth Marketing,approved
EXP000246,M001,2024-10-24,warehouse,equipment,11332.35,card,BlueDart,approved
EXP000247,M001,2024-08-20,salaries,incentives,6175.75,bank_transfer,Ecom Express,approved
EXP000248,M001,2024-08-20,shipping,reverse_logistics,2107.3,card,Bangalore Packaging Co,pending
EXP000249,M001,2024-03-30,packaging,labels,1049.71,bank_transfer,Xpressbees,approved
EXP000250,M001,2024-08-25,salaries,contract,20278.36,bank_transfer,Ecom Express,approved
EXP000251,M001,2024-09-02,returns,quality_check,5286.89,UPI,Razorpay Fees,approved
EXP000252,M001,2024-04-01,marketing,digital_ads,22725.79,bank_transfer,AdGrowth Marketing,rejected
EXP000253,M001,2024-10-25,salaries,incentives,13082.87,UPI,Razorpay Fees,rejected
EXP000254,M001,2024-11-17,shipping,last_mile,367.84,bank_transfer,Bangalore Packaging Co,approved
EXP000255,M001,2024-12-23,shipping,last_mile,8562.19,UPI,Delhivery,approved
EXP000256,M001,2024-07-06,marketing,SEO,26309.39,bank_transfer,BlueDart,approved
EXP000257,M001,2024-12-23,returns,reverse_pickup,609.46,bank_transfer,Urban Warehouse Services,approved
EXP000258,M001,2024-12-09,returns,restocking,1263.99,bank_transfer,AdGrowth Marketing,approved
EXP000259,M001,2024-10-21,warehouse,utilities,13840.25,bank_transfer,Cashfree Fees,approved
EXP000260,M001,2024-02-27,cloud,GCP,2745.27,UPI,Shiprocket,pending
EXP000261,M001,2024-07-14,packaging,boxes,5244.98,UPI,AdGrowth Marketing,approved
EXP000262,M001,2024-01-05,salaries,overtime,14322.89,UPI,AdGrowth Marketing,approved
EXP000263,M001,2024-02-28,packaging,tape,9445.98,UPI,Razorpay Fees,rejected
EXP000264,M001,2024-01-04,marketing,email_campaigns,11513.5,bank_transfer,Razorpay Fees,approved
EXP000265,M001,2024-12-28,marketing,influencer,9998.61,bank_transfer,AdGrowth Marketing,approved
EXP000266,M001,2024-08-27,refunds,partial_refund,8685.94,bank_transfer,Shiprocket,approved
EXP000267,M001,2024-03-13,salaries,overtime,20017.95,card,AdGrowth Marketing,approved
EXP000268,M001,2024-12-27,packaging,labels,9095.34,bank_transfer,Bangalore Packaging Co,approved
EXP000269,M001,2024-05-17,warehouse,staff,19790.65,cash,Bangalore Packaging Co,approved
EXP000270,M001,2024-08-28,warehouse,staff,17773.95,UPI,Ecom Express,approved
EXP000271,M001,2024-11-07,shipping,last_mile,14359.0,bank_transfer,Shiprocket,rejected
EXP000272,M001,2024-05-05,warehouse,equipment,20020.49,card,Xpressbees,approved
EXP000273,M001,2024-01-16,refunds,chargeback,1466.2,UPI,BlueDart,approved
EXP000274,M001,2024-05-03,returns,reverse_pickup,9219.24,bank_transfer,Urban Warehouse Services,approved
EXP000275,M001,2024-12-13,returns,reverse_pickup,9278.41,bank_transfer,Shiprocket,approved
EXP000276,M001,2024-11-19,salaries,incentives,21198.0,card,Cashfree Fees,approved
EXP000277,M001,2024-04-07,marketing,digital_ads,28280.04,UPI,Ecom Express,approved
EXP000278,M001,2024-04-16,shipping,last_mile,5065.54,card,Urban Warehouse Services,approved
EXP000279,M001,2024-03-16,software,subscriptions,5033.05,card,Shiprocket,pending
EXP000280,M001,2024-11-18,salaries,contract,33675.16,bank_transfer,AdGrowth Marketing,approved
EXP000281,M001,2024-08-07,payment_gateway,dispute_fee,3862.02,bank_transfer,Ecom Express,approved
EXP000282,M001,2024-09-30,cloud,GCP,876.6,bank_transfer,Xpressbees,approved
EXP000283,M001,2024-01-21,shipping,air_freight,13258.53,bank_transfer,Shiprocket,approved
EXP000284,M001,2024-12-21,refunds,partial_refund,116.79,bank_transfer,BlueDart,approved
EXP000285,M001,2024-05-25,marketing,SEO,26972.19,card,Bangalore Packaging Co,rejected
EXP000286,M001,2024-12-21,packaging,boxes,5265.19,card,Cashfree Fees,approved
EXP000287,M001,2024-03-03,refunds,partial_refund,4851.26,card,Cashfree Fees,pending
EXP000288,M001,2024-10-29,salaries,incentives,39299.06,card,Ecom Express,approved
EXP000289,M001,2024-06-18,returns,restocking,7851.11,UPI,Xpressbees,pending
EXP000290,M001,2024-04-27,warehouse,equipment,11752.36,bank_transfer,Cashfree Fees,approved
EXP000291,M001,2024-10-21,warehouse,rent,25320.9,card,Cashfree Fees,pending
EXP000292,M001,2024-04-18,shipping,reverse_logistics,7232.45,bank_transfer,BlueDart,approved
EXP000293,M001,2024-01-15,salaries,incentives,28626.48,bank_transfer,Bangalore Packaging Co,rejected
EXP000294,M001,2024-12-02,warehouse,equipment,13602.62,card,Urban Warehouse Services,approved
EXP000295,M001,2024-08-30,payment_gateway,settlement_charge,1147.3,card,Ecom Express,approved
EXP000296,M001,2024-05-31,returns,restocking,7116.99,card,AdGrowth Marketing,approved
EXP000297,M001,2024-10-22,marketing,digital_ads,7202.1,bank_transfer,Shiprocket,approved
EXP000298,M001,2024-04-22,shipping,air_freight,12972.34,bank_transfer,Delhivery,approved
EXP000299,M001,2024-02-23,salaries,overtime,14698.67,card,Bangalore Packaging Co,approved
EXP000300,M001,2024-12-19,warehouse,utilities,11932.36,card,AdGrowth Marketing,approved
EXP000301,M001,2024-12-19,refunds,customer_refund,1419.83,card,Shiprocket,pending
EXP000302,M001,2024-09-24,salaries,incentives,39385.41,bank_transfer,Razorpay Fees,approved
