merchant_id,payment_id,order_id,payment_date,payment_method,payment_status,amount,refund_amount,settlement_date,gateway_name
M001,PAY000074,ORD009728,2024-12-23,Credit Card,paid,9829.44,0.0,2024-12-24,PhonePe
M001,PAY000075,ORD000459,2024-01-15,UPI,paid,586.12,0.0,2024-01-16,Cashfree
M001,PAY000076,ORD006314,2024-09-10,Credit Card,paid,8878.95,0.0,2024-09-14,Cashfree
M001,PAY000077,ORD009718,2024-12-21,COD,paid,617.37,0.0,2024-12-22,PayU
M001,PAY000078,ORD009352,2024-12-11,Debit Card,paid,1517.13,0.0,2024-12-16,Stripe
M001,PAY000079,ORD005043,2024-07-18,COD,paid,5389.66,0.0,2024-07-19,PayU
M001,PAY000080,ORD009707,2024-12-22,UPI,failed,0.0,0.0,2024-12-22,PayU
M001,PAY000081,ORD006390,2024-09-13,UPI,refunded,5065.78,1427.13,2024-09-14,Juspay
M001,PAY000082,ORD005740,2024-08-17,COD,paid,2276.75,0.0,2024-08-20,Cashfree
M001,PAY000083,ORD001407,2024-02-17,COD,paid,4710.28,0.0,2024-02-22,Cashfree
M001,PAY000084,ORD007379,2024-10-16,Wallet,paid,2978.98,0.0,2024-10-20,Cashfree
M001,PAY000085,ORD007247,2024-10-12,COD,paid,3262.41,0.0,2024-10-17,Razorpay
M001,PAY000086,ORD006871,2024-10-01,COD,paid,3608.05,0.0,2024-10-03,PhonePe
M001,PAY000087,ORD006661,2024-09-25,COD,paid,3255.09,0.0,2024-09-29,Stripe
M001,PAY000088,ORD007364,2024-10-16,Credit Card,paid,2702.09,0.0,2024-10-18,Razorpay
M001,PAY000089,ORD009665,2024-12-20,COD,paid,3851.74,0.0,2024-12-25,Cashfree
M001,PAY000090,ORD008811,2024-11-25,COD,refunded,6701.31,2910.22,2024-11-28,PhonePe
M001,PAY000091,ORD003423,2024-05-07,COD,paid,7605.6,0.0,2024-05-12,Razorpay
M001,PAY000092,ORD000892,2024-01-28,COD,paid,633.23,0.0,2024-01-29,Cashfree
M001,PAY000093,ORD002049,2024-03-17,COD,paid,5051.51,0.0,2024-03-22,Cashfree
M001,PAY000094,ORD004350,2024-06-14,Credit Card,paid,4732.44,0.0,2024-06-16,Juspay
M001,PAY000095,ORD002291,2024-03-26,UPI,paid,6770.26,0.0,2024-03-31,PayU
M001,PAY000096,ORD007327,2024-10-14,Credit Card,paid,2861.23,0.0,2024-10-15,Cashfree
M001,PAY000097,ORD000971,2024-01-30,Debit Card,paid,1917.33,0.0,2024-01-31,Razorpay
M001,PAY000098,ORD004034,2024-05-30,COD,paid,9753.09,0.0,2024-06-02,Juspay
M001,PAY000099,ORD003569,2024-05-13,Debit Card,failed,0.0,0.0,2024-05-13,PayU
M001,PAY000100,ORD003717,2024-05-19,COD,paid,5947.64,0.0,2024-05-22,Stripe
M001,PAY000101,ORD004307,2024-06-11,COD,refunded,7806.76,3430.75,2024-06-14,Juspay
M001,PAY000102,ORD000197,2024-01-06,COD,paid,5533.68,0.0,2024-01-11,PayU
M001,PAY000103,ORD002212,2024-03-22,COD,paid,4494.65,0.0,2024-03-26,Cashfree
M001,PAY000104,ORD008280,2024-11-10,Debit Card,paid,5779.44,0.0,2024-11-13,Razorpay
M001,PAY000105,ORD007565,2024-10-21,NetBanking,failed,0.0,0.0,2024-10-21,PayU
M001,PAY000106,ORD008207,2024-11-09,COD,paid,1479.25,0.0,2024-11-12,Stripe
M001,PAY000107,ORD002589,2024-04-07,COD,paid,10171.22,0.0,2024-04-12,Stripe
M001,PAY000108,ORD004152,2024-06-03,NetBanking,paid,486.15,0.0,2024-06-06,PhonePe
M001,PAY000109,ORD007627,2024-10-23,Credit Card,paid,8324.01,0.0,2024-10-27,Razorpay
M001,PAY000110,ORD000254,2024-01-09,Credit Card,paid,9684.54,0.0,2024-01-13,Cashfree
M001,PAY000111,ORD003645,2024-05-16,UPI,failed,0.0,0.0,2024-05-16,Razorpay
M001,PAY000112,ORD000065,2024-01-03,UPI,paid,7975.67,0.0,2024-01-08,Cashfree
M001,PAY000113,ORD000630,2024-01-21,COD,paid,7369.64,0.0,2024-01-23,Cashfree
M001,PAY000114,ORD001502,2024-02-22,COD,pending,2402.28,0.0,2024-02-24,Juspay
M001,PAY000115,ORD002703,2024-04-11,Debit Card,paid,6003.92,0.0,2024-04-15,Razorpay
M001,PAY000116,ORD008672,2024-11-22,UPI,paid,7022.63,0.0,2024-11-23,Razorpay
M001,PAY000117,ORD008163,2024-11-07,UPI,paid,5565.51,0.0,2024-11-09,Razorpay
M001,PAY000118,ORD006563,2024-09-21,COD,paid,1732.8,0.0,2024-09-24,Stripe
M001,PAY000119,ORD000690,2024-01-22,UPI,paid,7091.06,0.0,2024-01-23,PhonePe
M001,PAY000120,ORD005101,2024-07-21,UPI,paid,1584.63,0.0,2024-07-23,PhonePe
M001,PAY000121,ORD004129,2024-06-02,COD,paid,6666.66,0.0,2024-06-03,Stripe
M001,PAY000122,ORD009481,2024-12-15,COD,failed,0.0,0.0,2024-12-15,Razorpay
M001,PAY000123,ORD003566,2024-05-13,COD,paid,7137.47,0.0,2024-05-18,Stripe
M001,PAY000124,ORD008313,2024-11-11,COD,paid,3384.37,0.0,2024-11-16,Juspay
M001,PAY000125,ORD000027,2024-01-01,NetBanking,pending,4724.79,0.0,2024-01-03,Stripe
M001,PAY000126,ORD004631,2024-06-26,UPI,pending,6915.14,0.0,2024-06-27,Razorpay
M001,PAY000127,ORD009699,2024-12-22,Wallet,paid,4709.53,0.0,2024-12-23,PhonePe
M001,PAY000128,ORD000671,2024-01-21,UPI,paid,6246.2,0.0,2024-01-24,PayU
M001,PAY000129,ORD006055,2024-08-31,UPI,paid,6035.76,0.0,2024-09-05,PhonePe
M001,PAY000130,ORD003854,2024-05-23,Debit Card,refunded,9861.46,6510.29,2024-05-27,PayU
M001,PAY000131,ORD009626,2024-12-19,UPI,paid,8120.46,0.0,2024-12-20,PayU
M001,PAY000132,ORD006035,2024-08-30,COD,paid,6627.39,0.0,2024-08-31,PayU
M001,PAY000133,ORD005641,2024-08-13,COD,paid,2789.97,0.0,2024-08-17,PayU
M001,PAY000134,ORD003223,2024-04-30,NetBanking,paid,4300.1,0.0,2024-05-02,Stripe
M001,PAY000135,ORD007981,2024-11-03,COD,paid,4767.03,0.0,2024-11-06,Razorpay
M001,PAY000136,ORD001374,2024-02-16,COD,paid,448.85,0.0,2024-02-20,Cashfree
M001,PAY000137,ORD008652,2024-11-21,COD,failed,0.0,0.0,2024-11-21,Cashfree
M001,PAY000138,ORD009547,2024-12-16,COD,paid,4294.8,0.0,2024-12-21,PayU
M001,PAY000139,ORD006129,2024-09-01,COD,paid,7255.18,0.0,2024-09-05,PayU
M001,PAY000140,ORD001510,2024-02-22,UPI,paid,1543.5,0.0,2024-02-25,PayU
M001,PAY000141,ORD008937,2024-11-29,Credit Card,paid,8837.75,0.0,2024-12-01,PhonePe
M001,PAY000142,ORD008891,2024-11-27,UPI,paid,2250.52,0.0,2024-12-01,Stripe
M001,PAY000143,ORD009353,2024-12-10,NetBanking,paid,1374.56,0.0,2024-12-14,PhonePe
M001,PAY000144,ORD008980,2024-11-30,Debit Card,paid,6705.04,0.0,2024-12-01,Juspay
M001,PAY000145,ORD003040,2024-04-24,UPI,paid,3982.47,0.0,2024-04-27,PayU
M001,PAY000146,ORD005327,2024-07-30,COD,failed,0.0,0.0,2024-07-30,PhonePe
M001,PAY000147,ORD001821,2024-03-07,Credit Card,failed,0.0,0.0,2024-03-07,Cashfree
M001,PAY000148,ORD002283,2024-03-26,Debit Card,paid,6216.01,0.0,2024-03-29,Razorpay
M001,PAY000149,ORD001791,2024-03-07,Debit Card,paid,2880.39,0.0,2024-03-10,Juspay
M001,PAY000150,ORD004667,2024-06-28,Credit Card,paid,6790.06,0.0,2024-06-30,PhonePe
M001,PAY000151,ORD006240,2024-09-06,Credit Card,paid,4191.94,0.0,2024-09-10,Razorpay
M001,PAY000152,ORD006061,2024-08-30,UPI,paid,6271.75,0.0,2024-09-04,PhonePe
M001,PAY000153,ORD006843,2024-09-30,UPI,paid,4862.31,0.0,2024-10-05,Cashfree
M001,PAY000154,ORD008830,2024-11-25,COD,paid,6494.9,0.0,2024-11-27,Razorpay
M001,PAY000155,ORD006989,2024-10-05,UPI,refunded,8681.44,2249.55,2024-10-06,Juspay
M001,PAY000156,ORD005286,2024-07-29,COD,paid,2646.2,0.0,2024-08-01,PhonePe
M001,PAY000157,ORD009089,2024-12-02,Debit Card,failed,0.0,0.0,2024-12-02,PayU
M001,PAY000158,ORD002442,2024-04-02,Credit Card,paid,1758.76,0.0,2024-04-06,Cashfree
M001,PAY000159,ORD002739,2024-04-12,COD,paid,2901.68,0.0,2024-04-15,PhonePe
M001,PAY000160,ORD005579,2024-08-10,Credit Card,paid,6255.79,0.0,2024-08-14,Juspay
M001,PAY000161,ORD006003,2024-08-28,Credit Card,paid,1085.38,0.0,2024-09-01,Razorpay
M001,PAY000162,ORD003030,2024-04-23,UPI,paid,1591.16,0.0,2024-04-27,Razorpay
M001,PAY000163,ORD001741,2024-03-04,Credit Card,paid,2633.07,0.0,2024-03-08,PhonePe
M001,PAY000164,ORD008985,2024-11-30,COD,paid,6405.64,0.0,2024-12-04,Juspay
M001,PAY000165,ORD009529,2024-12-16,Wallet,paid,4810.95,0.0,2024-12-18,Cashfree
M001,PAY000166,ORD003054,2024-04-23,Credit Card,paid,10670.79,0.0,2024-04-25,Stripe
M001,PAY000167,ORD003798,2024-05-21,UPI,refunded,2800.86,759.02,2024-05-23,Cashfree
M001,PAY000168,ORD002839,2024-04-16,UPI,pending,9745.7,0.0,2024-04-17,Cashfree
M001,PAY000169,ORD006316,2024-09-10,COD,paid,8063.69,0.0,2024-09-15,Stripe
M001,PAY000170,ORD008638,2024-11-21,UPI,paid,3493.32,0.0,2024-11-24,Cashfree
M001,PAY000171,ORD004332,2024-06-13,COD,failed,0.0,0.0,2024-06-13,Juspay
M001,PAY000172,ORD005061,2024-07-18,Wallet,paid,9813.39,0.0,2024-07-21,Razorpay
M001,PAY000173,ORD003767,2024-05-20,COD,paid,3852.77,0.0,2024-05-21,Stripe
M001,PAY000174,ORD007417,2024-10-17,Debit Card,refunded,6602.01,6078.87,2024-10-19,PayU
M001,PAY000175,ORD005134,2024-07-23,Credit Card,pending,2418.22,0.0,2024-07-24,PhonePe
M001,PAY000176,ORD007721,2024-10-26,Credit Card,paid,5716.81,0.0,2024-10-31,Razorpay
M001,PAY000177,ORD007809,2024-10-29,Wallet,paid,5173.4,0.0,2024-11-03,Stripe
M001,PAY000178,ORD003797,2024-05-21,COD,failed,0.0,0.0,2024-05-21,Razorpay
M001,PAY000179,ORD009579,2024-12-18,COD,paid,1168.28,0.0,2024-12-23,Juspay
M001,PAY000180,ORD000653,2024-01-21,UPI,paid,6266.74,0.0,2024-01-24,PayU
M001,PAY000181,ORD009976,2024-12-31,UPI,paid,2438.24,0.0,2025-01-03,PhonePe
M001,PAY000182,ORD005552,2024-08-09,Wallet,paid,3629.81,0.0,2024-08-12,Razorpay
M001,PAY000183,ORD000678,2024-01-23,UPI,paid,1903.78,0.0,2024-01-24,PhonePe
M001,PAY000184,ORD007596,2024-10-21,UPI,paid,1028.88,0.0,2024-10-24,Juspay
M001,PAY000185,ORD008058,2024-11-05,UPI,refunded,1742.87,326.17,2024-11-09,Razorpay
M001,PAY000186,ORD002196,2024-03-23,NetBanking,paid,5714.23,0.0,2024-03-28,Juspay
M001,PAY000187,ORD000125,2024-01-05,COD,paid,5995.49,0.0,2024-01-08,Stripe
M001,PAY000188,ORD000901,2024-01-29,UPI,pending,1640.88,0.0,2024-01-30,Stripe
M001,PAY000189,ORD006617,2024-09-23,UPI,paid,2887.88,0.0,2024-09-24,PhonePe
M001,PAY000190,ORD006799,2024-09-28,Credit Card,paid,4924.28,0.0,2024-10-02,Cashfree
M001,PAY000191,ORD007465,2024-10-18,COD,paid,8239.47,0.0,2024-10-23,Juspay
M001,PAY000192,ORD008598,2024-11-20,COD,pending,1359.43,0.0,2024-11-22,Cashfree
M001,PAY000193,ORD002027,2024-03-15,Credit Card,paid,2054.62,0.0,2024-03-18,PhonePe
M001,PAY000194,ORD000714,2024-01-23,Debit Card,paid,2869.5,0.0,2024-01-28,Juspay
M001,PAY000195,ORD006084,2024-08-31,NetBanking,paid,4202.67,0.0,2024-09-04,PayU
M001,PAY000196,ORD002697,2024-04-12,UPI,failed,0.0,0.0,2024-04-12,PhonePe
M001,PAY000197,ORD003383,2024-05-05,UPI,failed,0.0,0.0,2024-05-05,PayU
M001,PAY000198,ORD001025,2024-02-02,COD,paid,866.39,0.0,2024-02-04,Stripe
M001,PAY000199,ORD001214,2024-02-08,UPI,failed,0.0,0.0,2024-02-08,Stripe
M001,PAY000200,ORD007648,2024-10-24,UPI,pending,4236.35,0.0,2024-10-26,PayU
M001,PAY000201,ORD006334,2024-09-10,COD,paid,9030.36,0.0,2024-09-15,Razorpay
M001,PAY000202,ORD004118,2024-06-01,COD,paid,3910.15,0.0,2024-06-03,PhonePe
M001,PAY000203,ORD002619,2024-04-08,UPI,pending,8611.1,0.0,2024-04-10,Razorpay
M001,PAY000204,ORD001033,2024-02-02,COD,paid,2267.34,0.0,2024-02-06,Stripe
M001,PAY000205,ORD009905,2024-12-27,Credit Card,paid,3169.0,0.0,2024-12-29,Razorpay
M001,PAY000206,ORD001317,2024-02-13,COD,paid,10685.97,0.0,2024-02-17,PhonePe
M001,PAY000207,ORD001542,2024-02-24,COD,pending,637.44,0.0,2024-02-26,Razorpay
M001,PAY000208,ORD008804,2024-11-24,COD,paid,2578.43,0.0,2024-11-25,Stripe
M001,PAY000209,ORD002277,2024-03-26,COD,refunded,2954.16,2136.1,2024-03-29,PayU
M001,PAY000210,ORD006184,2024-09-04,COD,paid,5726.5,0.0,2024-09-05,Stripe
M001,PAY000211,ORD009390,2024-12-11,UPI,paid,7950.09,0.0,2024-12-14,Cashfree
M001,PAY000212,ORD004252,2024-06-09,Debit Card,refunded,8131.54,1902.06,2024-06-11,Cashfree
M001,PAY000213,ORD008285,2024-11-11,COD,paid,7129.6,0.0,2024-11-15,PayU
M001,PAY000214,ORD007353,2024-10-15,COD,failed,0.0,0.0,2024-10-15,PayU
M001,PAY000215,ORD002714,2024-04-11,Wallet,paid,1812.85,0.0,2024-04-12,PayU
M001,PAY000216,ORD006598,2024-09-22,COD,failed,0.0,0.0,2024-09-22,Stripe
M001,PAY000217,ORD007865,2024-10-30,COD,paid,3041.66,0.0,2024-11-03,Cashfree
M001,PAY000218,ORD006854,2024-10-01,Credit Card,pending,9620.82,0.0,2024-10-03,Stripe
M001,PAY000219,ORD005847,2024-08-21,UPI,paid,8484.59,0.0,2024-08-23,Juspay
M001,PAY000220,ORD005896,2024-08-23,Wallet,paid,873.24,0.0,2024-08-27,PhonePe
M001,PAY000221,ORD004565,2024-06-23,UPI,paid,9966.06,0.0,2024-06-26,Razorpay
M001,PAY000222,ORD001072,2024-02-03,COD,paid,6787.05,0.0,2024-02-07,Juspay
M001,PAY000223,ORD006131,2024-09-02,Debit Card,paid,870.8,0.0,2024-09-04,Cashfree
M001,PAY000224,ORD006971,2024-10-04,UPI,refunded,7248.86,6892.21,2024-10-05,PhonePe
M001,PAY000225,ORD001631,2024-02-28,UPI,refunded,2268.31,1237.63,2024-03-01,PayU
M001,PAY000226,ORD006673,2024-09-24,COD,paid,5573.61,0.0,2024-09-25,Cashfree
M001,PAY000227,ORD009991,2024-12-31,Debit Card,paid,2539.53,0.0,2025-01-03,Stripe
M001,PAY000228,ORD000968,2024-01-31,Debit Card,paid,3832.4,0.0,2024-02-03,Razorpay
M001,PAY000229,ORD004417,2024-06-17,UPI,paid,10199.53,0.0,2024-06-22,Cashfree
M001,PAY000230,ORD000874,2024-01-28,Debit Card,paid,2721.37,0.0,2024-01-30,Juspay
M001,PAY000231,ORD007934,2024-11-01,COD,paid,3038.66,0.0,2024-11-05,Stripe
M001,PAY000232,ORD001962,2024-03-12,COD,paid,856.68,0.0,2024-03-14,Juspay
M001,PAY000233,ORD006722,2024-09-27,Wallet,refunded,2339.78,460.98,2024-09-29,PayU
M001,PAY000234,ORD005728,2024-08-16,UPI,failed,0.0,0.0,2024-08-16,Stripe
M001,PAY000235,ORD008043,2024-11-04,Credit Card,paid,6252.59,0.0,2024-11-05,Stripe
M001,PAY000236,ORD007643,2024-10-24,UPI,paid,4571.32,0.0,2024-10-25,PayU
M001,PAY000237,ORD001853,2024-03-09,COD,failed,0.0,0.0,2024-03-09,PhonePe
M001,PAY000238,ORD006065,2024-08-30,UPI,paid,3552.8,0.0,2024-09-02,Juspay
M001,PAY000239,ORD002519,2024-04-04,COD,paid,1956.16,0.0,2024-04-07,Stripe
M001,PAY000240,ORD008271,2024-11-11,Debit Card,paid,10702.38,0.0,2024-11-16,Cashfree
M001,PAY000241,ORD006210,2024-09-04,Debit Card,paid,1759.79,0.0,2024-09-05,PhonePe
M001,PAY000242,ORD008506,2024-11-16,COD,paid,6070.27,0.0,2024-11-17,PayU
M001,PAY000243,ORD007196,2024-10-10,UPI,paid,6320.86,0.0,2024-10-13,Cashfree
M001,PAY000244,ORD001131,2024-02-06,UPI,paid,6435.41,0.0,2024-02-11,Stripe
M001,PAY000245,ORD005965,2024-08-26,Wallet,paid,9829.65,0.0,2024-08-31,PayU
M001,PAY000246,ORD005300,2024-07-29,COD,paid,2063.45,0.0,2024-07-30,PhonePe
M001,PAY000247,ORD006064,2024-08-31,UPI,failed,0.0,0.0,2024-08-31,Stripe
M001,PAY000248,ORD001505,2024-02-22,UPI,paid,9201.98,0.0,2024-02-26,Razorpay
M001,PAY000249,ORD004107,2024-06-01,COD,paid,2840.14,0.0,2024-06-02,PayU
M001,PAY000250,ORD004251,2024-06-08,UPI,paid,10242.11,0.0,2024-06-09,Razorpay
M001,PAY000251,ORD009401,2024-12-13,Debit Card,pending,7180.98,0.0,2024-12-14,PhonePe
M001,PAY000252,ORD000345,2024-01-12,COD,paid,1322.12,0.0,2024-01-15,Razorpay
M001,PAY000253,ORD002547,2024-04-06,UPI,failed,0.0,0.0,2024-04-06,PhonePe
M001,PAY000254,ORD003449,2024-05-09,COD,paid,4993.28,0.0,2024-05-13,PhonePe
M001,PAY000255,ORD001672,2024-03-01,COD,paid,2270.2,0.0,2024-03-03,PhonePe
M001,PAY000256,ORD005152,2024-07-24,UPI,paid,2579.3,0.0,2024-07-26,Juspay
M001,PAY000257,ORD002351,2024-03-30,COD,paid,7547.97,0.0,2024-04-03,Razorpay
M001,PAY000258,ORD002780,2024-04-14,COD,paid,2600.82,0.0,2024-04-18,PhonePe
M001,PAY000259,ORD002517,2024-04-04,COD,paid,3739.9,0.0,2024-04-05,Stripe
M001,PAY000260,ORD007402,2024-10-16,COD,paid,5703.61,0.0,2024-10-18,Cashfree
M001,PAY000261,ORD005703,2024-08-16,UPI,paid,1921.84,0.0,2024-08-20,PhonePe
M001,PAY000262,ORD003018,2024-04-23,COD,paid,9517.64,0.0,2024-04-24,Stripe
M001,PAY000263,ORD004223,2024-06-07,UPI,paid,3386.13,0.0,2024-06-08,Razorpay
M001,PAY000264,ORD005568,2024-08-10,COD,failed,0.0,0.0,2024-08-10,Cashfree
M001,PAY000265,ORD009399,2024-12-12,Credit Card,paid,4897.11,0.0,2024-12-14,Razorpay
M001,PAY000266,ORD004621,2024-06-25,Credit Card,paid,7436.56,0.0,2024-06-26,PhonePe
M001,PAY000267,ORD000421,2024-01-13,UPI,paid,1806.3,0.0,2024-01-18,Cashfree
M001,PAY000268,ORD001009,2024-01-31,UPI,paid,4462.09,0.0,2024-02-01,PayU
M001,PAY000269,ORD001201,2024-02-08,UPI,paid,6896.38,0.0,2024-02-13,Razorpay
M001,PAY000270,ORD008322,2024-11-13,NetBanking,paid,3144.28,0.0,2024-11-18,PayU
M001,PAY000271,ORD000297,2024-01-09,Credit Card,paid,8440.15,0.0,2024-01-12,Cashfree
M001,PAY000272,ORD004024,2024-05-30,Credit Card,paid,7387.49,0.0,2024-06-02,PayU
M001,PAY000273,ORD003576,2024-05-13,COD,paid,9619.05,0.0,2024-05-16,Stripe
M001,PAY000274,ORD002602,2024-04-08,UPI,failed,0.0,0.0,2024-04-08,Stripe
