merchant_id,invoice_id,order_id,vendor_name,invoice_number,invoice_date,billing_period_start,billing_period_end,subtotal,tax_amount,total_amount,currency,invoice_status
M001,INV000032,ORD000532,Shiprocket,VINV-000032,2024-02-03,2024-01-27,2024-02-03,3457.21,622.3,4079.51,INR,approved
M001,INV000033,ORD008923,Shiprocket,VINV-000033,2024-12-07,2024-11-26,2024-12-07,598.1,107.66,705.76,INR,approved
M001,INV000034,ORD000752,Delhivery,VINV-000034,2024-02-02,2024-01-05,2024-02-02,4846.43,872.36,5718.79,INR,approved
M001,INV000035,ORD008559,Razorpay Fees,VINV-000035,2024-12-12,2024-12-05,2024-12-12,2520.97,453.77,2974.74,INR,approved
M001,INV000036,ORD005523,Bangalore Packaging Co,VINV-000036,2024-08-17,2024-07-30,2024-08-17,7386.92,1329.65,8716.57,INR,disputed
M001,INV000037,ORD005247,AdGrowth Marketing,VINV-000037,2024-07-28,2024-07-20,2024-07-28,2668.64,480.35,3148.99,INR,approved
M001,INV000038,ORD001578,Xpressbees,VINV-000038,2024-03-03,2024-02-26,2024-03-03,1294.38,232.99,1527.37,INR,approved
M001,INV000039,ORD003900,BlueDart,VINV-000039,2024-06-23,2024-05-27,2024-06-23,6280.58,1130.51,7411.09,INR,approved
M001,INV000040,ORD003902,Razorpay Fees,VINV-000040,2024-05-29,2024-05-17,2024-05-29,6073.69,1093.27,7166.96,INR,approved
M001,INV000041,ORD001867,Razorpay Fees,VINV-000041,2024-03-20,2024-03-19,2024-03-20,2638.62,474.95,3113.57,INR,approved
M001,INV000042,ORD009652,Delhivery,VINV-000042,2025-01-03,2024-12-27,2025-01-03,5523.78,994.28,6518.06,INR,approved
M001,INV000043,ORD006458,Urban Warehouse Services,VINV-000043,2024-10-08,2024-10-04,2024-10-08,8314.52,1496.61,9811.13,INR,pending
M001,INV000044,ORD007908,AdGrowth Marketing,VINV-000044,2024-11-27,2024-10-31,2024-11-27,1636.7,294.61,1931.31,INR,approved
M001,INV000045,ORD003579,Xpressbees,VINV-000045,2024-06-10,2024-05-25,2024-06-10,5446.45,980.36,6426.81,INR,approved
M001,INV000046,ORD000376,Urban Warehouse Services,VINV-000046,2024-01-14,2024-01-05,2024-01-14,1107.51,199.35,1306.86,INR,approved
M001,INV000047,ORD007431,Shiprocket,VINV-000667,2024-10-18,2024-10-15,2024-10-18,2693.33,484.8,3178.13,INR,approved
M001,INV000048,ORD005127,AdGrowth Marketing,VINV-000048,2024-07-24,2024-07-21,2024-07-24,4901.39,882.25,5783.64,INR,pending
M001,INV000049,ORD009656,Urban Warehouse Services,VINV-000049,2024-12-27,2024-12-23,2024-12-27,968.82,174.39,1143.21,INR,pending
M001,INV000050,ORD006826,AdGrowth Marketing,VINV-000050,2024-10-04,2024-09-23,2024-10-04,3199.72,575.95,3775.67,INR,approved
M001,INV000051,VORD000107,Razorpay Fees,VINV-000051,2024-05-05,2024-04-13,2024-05-05,8334.8,1500.26,9835.06,INR,pending
M001,INV000052,ORD007608,Urban Warehouse Services,VINV-000052,2024-10-30,2024-10-15,2024-10-30,7328.5,1319.13,8647.63,INR,approved
M001,INV000053,ORD002632,AdGrowth Marketing,VINV-000053,2024-05-02,2024-04-22,2024-05-02,880.08,158.42,1038.5,INR,approved
M001,INV000054,VORD000004,Xpressbees,VINV-000054,2024-10-31,2024-10-08,2024-10-31,1355.58,244.01,1599.59,INR,approved
M001,INV000055,ORD006208,BlueDart,VINV-000055,2024-09-10,2024-08-11,2024-09-10,8403.43,1512.62,9916.05,INR,approved
M001,INV000056,ORD004857,Bangalore Packaging Co,VINV-000056,2024-07-16,2024-07-06,2024-07-16,769.33,138.48,907.81,INR,disputed
M001,INV000057,ORD005269,Razorpay Fees,VINV-000057,2024-08-03,2024-07-31,2024-08-03,3519.43,633.5,4152.93,INR,approved
M001,INV000058,ORD007978,Shiprocket,VINV-000058,2024-11-14,2024-10-26,2024-11-14,3072.72,553.09,3625.81,INR,approved
M001,INV000059,ORD007343,Cashfree Fees,VINV-000059,2024-10-28,2024-10-20,2024-10-28,5667.75,1020.2,6687.95,INR,disputed
M001,INV000060,ORD004753,Xpressbees,VINV-000060,2024-07-04,2024-06-25,2024-07-04,1731.65,311.7,2043.35,INR,approved
M001,INV000061,ORD003102,Xpressbees,VINV-000061,2024-05-03,2024-04-05,2024-05-03,4733.03,851.94,5584.97,INR,approved
M001,INV000062,ORD005126,Bangalore Packaging Co,VINV-000062,2024-08-12,2024-08-09,2024-08-12,4669.76,840.56,5510.32,INR,pending
M001,INV000063,ORD003506,Ecom Express,VINV-000063,2024-05-16,2024-04-28,2024-05-16,4967.05,894.07,5861.12,INR,approved
M001,INV000064,ORD008334,Delhivery,VINV-000064,2024-12-11,2024-11-19,2024-12-11,8216.47,1478.96,9695.43,INR,approved
M001,INV000065,ORD000280,Delhivery,VINV-000065,2024-02-06,2024-01-26,2024-02-06,2094.14,376.94,2471.08,INR,approved
M001,INV000066,ORD005252,Ecom Express,VINV-000330,2024-08-09,2024-07-22,2024-08-09,6340.18,1141.23,7481.41,INR,pending
M001,INV000067,ORD008450,BlueDart,VINV-000067,2024-11-21,2024-10-31,2024-11-21,3068.85,552.39,3621.24,INR,approved
M001,INV000068,ORD005436,AdGrowth Marketing,VINV-000068,2024-08-17,2024-07-28,2024-08-17,21657.47,3898.34,25555.81,INR,disputed
M001,INV000069,VORD000044,AdGrowth Marketing,VINV-000069,2024-11-13,2024-10-22,2024-11-13,31910.36,5743.87,37654.23,INR,approved
M001,INV000070,ORD000737,Ecom Express,VINV-000070,2024-01-25,2024-01-09,2024-01-25,1745.98,314.28,2060.26,INR,approved
M001,INV000071,ORD001818,Shiprocket,VINV-000071,2024-03-23,2024-03-06,2024-03-23,6497.25,1169.51,7666.76,INR,approved
M001,INV000072,VORD000010,Razorpay Fees,VINV-000072,2024-09-21,2024-09-05,2024-09-21,5023.43,904.22,5927.65,INR,pending
M001,INV000073,ORD005278,Urban Warehouse Services,VINV-000073,2024-08-10,2024-07-12,2024-08-10,1591.07,286.39,1877.46,INR,approved
M001,INV000074,ORD007263,Razorpay Fees,VINV-000074,2024-11-11,2024-11-10,2024-11-11,6238.31,1122.9,7361.21,INR,approved
M001,INV000075,ORD003335,Xpressbees,VINV-000075,2024-05-16,2024-05-12,2024-05-16,6162.09,1109.18,7271.27,INR,disputed
M001,INV000076,ORD004866,Razorpay Fees,VINV-000076,2024-07-08,2024-06-10,2024-07-08,22813.11,4106.36,26919.47,INR,disputed
M001,INV000077,ORD000352,Bangalore Packaging Co,VINV-000077,2024-02-01,2024-01-09,2024-02-01,6881.81,1238.73,8120.54,INR,approved
M001,INV000078,ORD005155,Ecom Express,VINV-000078,2024-07-25,2024-07-11,2024-07-25,2339.59,421.13,2760.72,INR,disputed
M001,INV000079,ORD001341,Xpressbees,VINV-000079,2024-03-03,2024-02-12,2024-03-03,6114.51,1100.61,7215.12,INR,approved
M001,INV000080,ORD009641,Xpressbees,VINV-000080,2025-01-16,2024-12-21,2025-01-16,7136.42,1284.56,8420.98,INR,approved
M001,INV000081,VORD000024,Delhivery,VINV-000081,2024-04-19,2024-04-18,2024-04-19,41887.33,7539.72,49427.05,INR,approved
M001,INV000082,ORD008242,AdGrowth Marketing,VINV-000082,2024-12-03,2024-11-25,2024-12-03,3595.73,647.23,4242.96,INR,approved
M001,INV000083,ORD009769,BlueDart,VINV-000083,2024-12-28,2024-12-20,2024-12-28,2460.69,442.92,2903.61,INR,approved
M001,INV000084,ORD000652,Ecom Express,VINV-000084,2024-02-17,2024-01-21,2024-02-17,6429.99,1157.4,7587.39,INR,pending
M001,INV000085,ORD002245,Razorpay Fees,VINV-000085,2024-04-08,2024-03-27,2024-04-08,8535.48,1536.39,10071.87,INR,approved
M001,INV000086,VORD000086,Bangalore Packaging Co,VINV-000086,2024-04-11,2024-03-20,2024-04-11,31108.02,5599.44,36707.46,INR,approved
M001,INV000087,ORD002987,Razorpay Fees,VINV-000087,2024-05-12,2024-05-05,2024-05-12,7089.18,1276.05,8365.23,INR,approved
M001,INV000088,ORD001825,AdGrowth Marketing,VINV-000088,2024-03-31,2024-03-21,2024-03-31,1450.58,261.11,1711.69,INR,approved
M001,INV000089,ORD000978,Urban Warehouse Services,VINV-000089,2024-02-20,2024-01-23,2024-02-20,5428.07,977.05,6405.12,INR,approved
M001,INV000090,ORD008573,AdGrowth Marketing,VINV-000090,2024-12-13,2024-12-05,2024-12-13,4039.78,727.16,4766.94,INR,approved
M001,INV000091,ORD002208,Shiprocket,VINV-000091,2024-03-27,2024-03-10,2024-03-27,5086.97,915.66,6002.63,INR,approved
M001,INV000092,ORD001697,Shiprocket,VINV-000092,2024-03-15,2024-02-23,2024-03-15,1271.37,228.85,1500.22,INR,approved
M001,INV000093,ORD004554,Bangalore Packaging Co,VINV-000093,2024-07-08,2024-06-18,2024-07-08,19070.85,3432.75,22503.6,INR,pending
M001,INV000094,ORD003258,Urban Warehouse Services,VINV-000094,2024-05-20,2024-04-26,2024-05-20,707.48,127.35,834.83,INR,rejected
M001,INV000095,ORD003985,Urban Warehouse Services,VINV-000095,2024-06-24,2024-06-10,2024-06-24,3061.22,551.02,3612.24,INR,approved
M001,INV000096,ORD002670,Delhivery,VINV-000096,2024-04-23,2024-04-15,2024-04-23,5056.53,910.18,5966.71,INR,approved
M001,INV000097,ORD003826,Urban Warehouse Services,VINV-000097,2024-06-02,2024-05-16,2024-06-02,5734.3,1032.17,6766.47,INR,approved
M001,INV000098,ORD005319,AdGrowth Marketing,VINV-000098,2024-08-12,2024-07-14,2024-08-12,8680.98,1562.58,10243.56,INR,pending
M001,INV000099,ORD004986,Delhivery,VINV-000099,2024-07-30,2024-07-13,2024-07-30,3132.67,563.88,3696.55,INR,approved
M001,INV000100,ORD004658,Shiprocket,VINV-000100,2024-07-15,2024-07-05,2024-07-15,37550.16,6759.03,44309.19,INR,approved
M001,INV000101,ORD002025,Urban Warehouse Services,VINV-000101,2024-03-26,2024-03-01,2024-03-26,730.19,131.44,861.63,INR,approved
M001,INV000102,ORD005743,Urban Warehouse Services,VINV-000102,2024-08-24,2024-08-22,2024-08-24,5708.14,1027.46,6735.6,INR,approved
M001,INV000103,ORD004450,Shiprocket,VINV-000103,2024-06-29,2024-06-10,2024-06-29,4164.65,749.64,4914.29,INR,pending
M001,INV000104,ORD000827,Ecom Express,VINV-000104,2024-02-10,2024-02-01,2024-02-10,5381.27,968.63,6349.9,INR,approved
M001,INV000105,ORD009086,Shiprocket,VINV-000105,2024-12-05,2024-11-24,2024-12-05,7740.15,1393.23,9133.38,INR,approved
M001,INV000106,ORD001516,Ecom Express,VINV-000106,2024-03-09,2024-03-02,2024-03-09,3909.04,703.63,4612.67,INR,approved
M001,INV000107,ORD005416,Ecom Express,VINV-000107,2024-08-06,2024-07-27,2024-08-06,2556.31,460.13,3016.44,INR,approved
M001,INV000108,ORD008011,Ecom Express,VINV-000108,2024-11-26,2024-10-28,2024-11-26,5232.1,941.78,6173.88,INR,approved
M001,INV000109,VORD000106,Razorpay Fees,VINV-000109,2024-08-04,2024-08-03,2024-08-04,8141.92,1465.55,9607.47,INR,pending
M001,INV000110,ORD005530,Shiprocket,VINV-000110,2024-09-04,2024-08-06,2024-09-04,9518.66,1713.36,11232.02,INR,approved
M001,INV000111,ORD008245,Ecom Express,VINV-000111,2024-11-29,2024-11-26,2024-11-29,12465.96,2243.87,14709.83,INR,approved
M001,INV000112,VORD000062,Urban Warehouse Services,VINV-000112,2024-07-14,2024-06-28,2024-07-14,2566.44,461.96,3028.4,INR,pending
M001,INV000113,ORD008588,Delhivery,VINV-000113,2024-12-16,2024-11-24,2024-12-16,780.82,140.55,921.37,INR,approved
M001,INV000114,ORD009577,Urban Warehouse Services,VINV-000114,2025-01-03,2025-01-02,2025-01-03,6813.19,1226.37,8039.56,INR,approved
M001,INV000115,ORD005499,Cashfree Fees,VINV-000115,2024-08-13,2024-07-29,2024-08-13,1126.03,202.68,1328.71,INR,approved
M001,INV000116,ORD007080,Delhivery,VINV-000116,2024-10-29,2024-10-08,2024-10-29,2426.57,436.78,2863.35,INR,approved
M001,INV000117,ORD006365,Xpressbees,VINV-000117,2024-09-24,2024-09-19,2024-09-24,2696.51,485.37,3181.88,INR,pending
M001,INV000118,ORD007453,Ecom Express,VINV-000118,2024-10-23,2024-10-11,2024-10-23,3532.42,635.83,4168.25,INR,approved
M001,INV000119,ORD004212,Razorpay Fees,VINV-000119,2024-07-02,2024-06-19,2024-07-02,1102.97,198.54,1301.51,INR,approved
M001,INV000120,ORD000035,Shiprocket,VINV-000120,2024-01-03,2023-12-30,2024-01-03,6480.54,1166.5,7647.04,INR,approved
M001,INV000121,ORD002867,Xpressbees,VINV-000121,2024-04-24,2024-03-27,2024-04-24,16950.25,3051.05,20001.3,INR,approved
M001,INV000122,VORD000043,Razorpay Fees,VINV-000122,2024-05-17,2024-04-17,2024-05-17,9893.19,1780.77,11673.96,INR,approved
M001,INV000123,ORD001808,Shiprocket,VINV-000123,2024-03-12,2024-03-08,2024-03-12,4810.03,865.8,5675.83,INR,approved
M001,INV000124,ORD006692,Urban Warehouse Services,VINV-000124,2024-10-25,2024-09-26,2024-10-25,8706.05,1567.09,10273.14,INR,disputed
M001,INV000125,ORD005362,AdGrowth Marketing,VINV-000125,2024-08-04,2024-08-03,2024-08-04,4178.47,752.12,4930.59,INR,pending
M001,INV000126,VORD000019,AdGrowth Marketing,VINV-000126,2024-09-21,2024-09-07,2024-09-21,26586.67,4785.6,31372.27,INR,approved
M001,INV000127,ORD009856,Shiprocket,VINV-000127,2025-01-22,2025-01-05,2025-01-22,7062.25,1271.21,8333.46,INR,approved
M001,INV000128,ORD006993,Ecom Express,VINV-000128,2024-11-03,2024-10-29,2024-11-03,3646.42,656.36,4302.78,INR,pending
M001,INV000129,ORD009632,Razorpay Fees,VINV-000129,2025-01-18,2025-01-02,2025-01-18,5319.25,957.46,6276.71,INR,approved
M001,INV000130,ORD006740,BlueDart,VINV-000130,2024-10-23,2024-10-20,2024-10-23,8326.2,1498.72,9824.92,INR,pending
M001,INV000131,ORD005889,Ecom Express,VINV-000131,2024-09-21,2024-09-05,2024-09-21,1888.68,339.96,2228.64,INR,pending
M001,INV000132,ORD004447,Shiprocket,VINV-000132,2024-06-21,2024-05-23,2024-06-21,1699.23,305.86,2005.09,INR,pending
M001,INV000133,ORD003486,BlueDart,VINV-000133,2024-06-01,2024-05-26,2024-06-01,846.87,152.44,999.31,INR,approved
M001,INV000134,ORD007539,Xpressbees,VINV-000134,2024-11-06,2024-11-05,2024-11-06,3370.0,606.6,3976.6,INR,disputed
M001,INV000135,ORD002865,Delhivery,VINV-000135,2024-05-05,2024-04-17,2024-05-05,4451.46,801.26,5252.72,INR,approved
M001,INV000136,ORD001691,Urban Warehouse Services,VINV-000136,2024-03-16,2024-02-29,2024-03-16,757.75,136.39,894.14,INR,disputed
M001,INV000137,ORD001115,Xpressbees,VINV-000137,2024-02-29,2024-02-06,2024-02-29,780.53,140.5,921.03,INR,approved
M001,INV000138,VORD000103,Delhivery,VINV-000138,2024-02-18,2024-02-11,2024-02-18,15726.31,2830.73,18557.04,INR,approved
M001,INV000139,ORD009962,Ecom Express,VINV-000139,2025-01-14,2025-01-11,2025-01-14,27516.93,4953.05,32469.98,INR,approved
M001,INV000140,ORD007090,AdGrowth Marketing,VINV-000140,2024-11-04,2024-10-20,2024-11-04,5197.69,935.59,6133.28,INR,approved
M001,INV000141,ORD008521,Urban Warehouse Services,VINV-000141,2024-12-02,2024-11-21,2024-12-02,3012.02,542.16,3554.18,INR,approved
M001,INV000142,ORD007849,Urban Warehouse Services,VINV-000142,2024-11-03,2024-10-09,2024-11-03,6215.92,1118.86,7334.78,INR,approved
M001,INV000143,ORD004284,AdGrowth Marketing,VINV-000143,2024-07-08,2024-06-21,2024-07-08,1754.51,315.81,2070.32,INR,approved
M001,INV000144,ORD006770,Delhivery,VINV-000144,2024-10-18,2024-10-02,2024-10-18,6758.64,1216.55,7975.19,INR,approved
M001,INV000145,ORD002336,Shiprocket,VINV-000145,2024-04-13,2024-04-03,2024-04-13,7603.94,1368.71,8972.65,INR,approved
M001,INV000146,ORD001371,Ecom Express,VINV-000146,2024-02-17,2024-01-24,2024-02-17,6533.01,1175.94,7708.95,INR,pending
M001,INV000147,ORD003523,Shiprocket,VINV-000147,2024-06-01,2024-05-10,2024-06-01,2748.22,494.68,3242.9,INR,approved
M001,INV000148,ORD000213,Ecom Express,VINV-000148,2024-01-27,2024-01-24,2024-01-27,413.58,74.44,488.02,INR,pending
M001,INV000149,ORD001496,Xpressbees,VINV-000149,2024-02-25,2024-02-20,2024-02-25,3864.16,695.55,4559.71,INR,pending
M001,INV000150,ORD003825,Bangalore Packaging Co,VINV-000150,2024-06-03,2024-06-01,2024-06-03,2081.8,374.72,2456.52,INR,approved
M001,INV000151,ORD003878,Cashfree Fees,VINV-000151,2024-06-04,2024-06-02,2024-06-04,373.81,67.28,441.09,INR,disputed
M001,INV000152,ORD006284,Bangalore Packaging Co,VINV-000152,2024-09-11,2024-08-22,2024-09-11,4623.42,832.22,5455.64,INR,approved
M001,INV000153,ORD000582,Cashfree Fees,VINV-000153,2024-01-24,2023-12-26,2024-01-24,1542.76,277.7,1820.46,INR,approved
M001,INV000154,ORD007615,BlueDart,VINV-000154,2024-11-04,2024-10-19,2024-11-04,5263.4,947.41,6210.81,INR,approved
M001,INV000155,ORD002791,Cashfree Fees,VINV-000155,2024-04-29,2024-03-31,2024-04-29,2587.92,465.82,3053.74,INR,approved
M001,INV000156,ORD005830,Shiprocket,VINV-000156,2024-09-02,2024-08-26,2024-09-02,6589.43,1186.1,7775.53,INR,pending
M001,INV000157,ORD003385,Xpressbees,VINV-000157,2024-05-17,2024-04-20,2024-05-17,4315.23,776.74,5091.97,INR,approved
M001,INV000158,ORD005325,Razorpay Fees,VINV-000158,2024-08-18,2024-08-14,2024-08-18,6219.9,1119.58,7339.48,INR,approved
M001,INV000159,ORD004859,Ecom Express,VINV-000159,2024-07-10,2024-07-06,2024-07-10,6357.04,1144.27,7501.31,INR,approved
M001,INV000160,ORD009174,Shiprocket,VINV-000160,2024-12-24,2024-12-10,2024-12-24,8450.88,1521.16,9972.04,INR,approved
M001,INV000161,ORD005528,Ecom Express,VINV-000161,2024-08-26,2024-07-27,2024-08-26,1999.52,359.91,2359.43,INR,disputed
M001,INV000162,ORD002603,Delhivery,VINV-000162,2024-04-11,2024-03-19,2024-04-11,30112.11,5420.18,35532.29,INR,approved
M001,INV000163,ORD002211,Delhivery,VINV-000163,2024-04-07,2024-03-20,2024-04-07,2212.43,398.24,2610.67,INR,pending
M001,INV000164,ORD002594,AdGrowth Marketing,VINV-000164,2024-04-15,2024-04-12,2024-04-15,6862.09,1235.18,8097.27,INR,approved
M001,INV000165,ORD007072,Cashfree Fees,VINV-000165,2024-11-03,2024-10-09,2024-11-03,7573.83,1363.29,8937.12,INR,approved
M001,INV000166,ORD003476,Shiprocket,VINV-000166,2024-05-19,2024-05-07,2024-05-19,4331.53,779.67,5111.2,INR,approved
M001,INV000167,ORD004740,Bangalore Packaging Co,VINV-000167,2024-07-31,2024-07-06,2024-07-31,8050.76,1449.14,9499.9,INR,approved
M001,INV000168,ORD003556,Shiprocket,VINV-000168,2024-05-20,2024-04-25,2024-05-20,2806.98,505.26,3312.24,INR,approved
M001,INV000169,ORD005879,Ecom Express,VINV-000169,2024-08-29,2024-08-15,2024-08-29,554.86,99.88,654.74,INR,approved
M001,INV000170,ORD001525,Cashfree Fees,VINV-000170,2024-03-13,2024-02-12,2024-03-13,40031.15,7205.61,47236.76,INR,pending
M001,INV000171,ORD007061,Urban Warehouse Services,VINV-000171,2024-10-21,2024-09-24,2024-10-21,3584.99,645.3,4230.29,INR,pending
M001,INV000172,ORD009877,AdGrowth Marketing,VINV-000172,2025-01-03,2024-12-06,2025-01-03,5644.76,1016.06,6660.82,INR,approved
M001,INV000173,ORD009839,BlueDart,VINV-000173,2025-01-06,2024-12-17,2025-01-06,1804.14,324.74,2128.88,INR,approved
M001,INV000174,ORD003497,Bangalore Packaging Co,VINV-000174,2024-06-09,2024-05-28,2024-06-09,5053.37,909.61,5962.98,INR,approved
M001,INV000175,ORD002747,BlueDart,VINV-000175,2024-04-23,2024-04-10,2024-04-23,4499.27,809.87,5309.14,INR,pending
M001,INV000176,VORD000007,Razorpay Fees,VINV-000176,2024-09-16,2024-08-17,2024-09-16,29860.35,5374.86,35235.21,INR,approved
M001,INV000177,ORD009318,Ecom Express,VINV-000177,2025-01-01,2024-12-17,2025-01-01,1115.6,200.81,1316.41,INR,approved
M001,INV000178,ORD009857,AdGrowth Marketing,VINV-000178,2025-01-07,2024-12-19,2025-01-07,2714.25,488.57,3202.82,INR,approved
M001,INV000179,ORD007282,Urban Warehouse Services,VINV-000179,2024-10-21,2024-10-06,2024-10-21,3477.51,625.95,4103.46,INR,approved
M001,INV000180,ORD004076,AdGrowth Marketing,VINV-000180,2024-06-22,2024-05-29,2024-06-22,5999.94,1079.99,7079.93,INR,pending
M001,INV000181,VORD000056,Ecom Express,VINV-000181,2024-12-19,2024-11-29,2024-12-19,6003.49,1080.63,7084.12,INR,pending
M001,INV000182,ORD004824,Urban Warehouse Services,VINV-000182,2024-07-15,2024-07-14,2024-07-15,4592.47,826.65,5419.12,INR,approved
M001,INV000183,ORD008766,Ecom Express,VINV-000183,2024-11-27,2024-11-01,2024-11-27,2434.92,438.28,2873.2,INR,pending
M001,INV000184,ORD002919,Shiprocket,VINV-000184,2024-05-18,2024-04-25,2024-05-18,4646.47,836.37,5482.84,INR,rejected
M001,INV000185,ORD009345,Delhivery,VINV-000185,2024-12-31,2024-12-03,2024-12-31,2267.75,408.19,2675.94,INR,approved
M001,INV000186,ORD003599,Delhivery,VINV-000186,2024-06-01,2024-05-25,2024-06-01,720.92,129.77,850.69,INR,approved
M001,INV000187,ORD008692,Urban Warehouse Services,VINV-000187,2024-12-21,2024-12-10,2024-12-21,35069.51,6312.51,41382.02,INR,approved
M001,INV000188,ORD006558,Xpressbees,VINV-000188,2024-09-22,2024-08-30,2024-09-22,2937.09,528.68,3465.77,INR,approved
M001,INV000189,ORD002035,Urban Warehouse Services,VINV-000189,2024-04-04,2024-03-05,2024-04-04,5653.89,1017.7,6671.59,INR,approved
M001,INV000190,ORD008475,Shiprocket,VINV-000190,2024-12-16,2024-12-15,2024-12-16,8614.65,1550.64,10165.29,INR,approved
M001,INV000191,ORD007119,Xpressbees,VINV-000191,2024-10-20,2024-09-28,2024-10-20,2894.17,520.95,3415.12,INR,approved
M001,INV000192,ORD002962,Cashfree Fees,VINV-000192,2024-05-01,2024-04-27,2024-05-01,3586.2,645.52,4231.72,INR,approved
M001,INV000193,ORD001072,Cashfree Fees,VINV-000193,2024-03-01,2024-02-05,2024-03-01,5671.29,1020.83,6692.12,INR,approved
M001,INV000194,ORD002995,AdGrowth Marketing,VINV-000194,2024-05-19,2024-04-29,2024-05-19,8507.95,1531.43,10039.38,INR,approved
M001,INV000195,ORD002488,Bangalore Packaging Co,VINV-000195,2024-05-01,2024-04-03,2024-05-01,5630.22,1013.44,6643.66,INR,pending
