merchant_id,order_id,customer_id,order_date,sku,category,quantity,gross_amount,discount_amount,tax_amount,net_amount,payment_method,order_status,city,state,shipment_days,delivery_status
M001,ORD000059,CUST002821,2024-01-02,SKU-ACC-2717,accessories,1,6919.51,850.97,1092.34,7160.88,NetBanking,delivered,Bangalore,Karnataka,2,delivered
M001,ORD000060,CUST000587,2024-01-02,SKU-FAS-1635,fashion,1,2413.84,373.84,367.2,2407.2,Wallet,delivered,Bangalore,Karnataka,3,delivered
M001,ORD000061,CUST000653,2024-01-02,SKU-LIF-8375,lifestyle,3,701.36,15.96,123.37,808.77,UPI,delivered,Bangalore,Karnataka,1,delivered
M001,ORD000062,CUST002926,2024-01-02,SKU-FOO-9144,footwear,1,1991.22,247.75,87.17,1830.64,UPI,delivered,Bangalore,Karnataka,2,delivered
M001,ORD000063,CUST000982,2024-01-02,SKU-LIF-9021,lifestyle,2,8022.68,712.67,1315.8,8625.81,UPI,delivered,Bangalore,Karnataka,3,delivered
M001,ORD000064,CUST003323,2024-01-02,SKU-FAS-7070,fashion,3,5855.57,1146.62,235.45,4944.4,COD,returned,Bangalore,Karnataka,3,returned
M001,ORD000065,CUST000439,2024-01-02,SKU-FAS-6600,fashion,4,9531.46,2425.66,852.7,7958.5,UPI,delivered,Bangalore,Karnataka,10,delivered
M001,ORD000066,CUST004509,2024-01-02,SKU-HOM-2841,home,4,7274.35,507.37,1218.06,7985.04,Wallet,delivered,Bangalore,Karnataka,1,delivered
M001,ORD000067,CUST005343,2024-01-02,SKU-LIF-8599,lifestyle,4,6198.73,456.33,689.09,6431.49,UPI,delivered,Bangalore,Karnataka,4,delivered
M001,ORD000068,CUST005111,2024-01-02,SKU-BEA-2105,beauty,4,4705.0,530.74,751.37,4925.63,UPI,confirmed,Bangalore,Karnataka,5,delivered
M001,ORD000069,CUST003254,2024-01-02,SKU-LIF-2944,lifestyle,1,5919.0,903.51,902.79,5918.28,UPI,delivered,Bangalore,Karnataka,3,delivered
M001,ORD000070,CUST001770,2024-01-02,SKU-ACC-6695,accessories,2,9593.83,29.21,478.23,10042.85,Credit Card,delivered,Bangalore,Karnataka,5,delivered
M001,ORD000071,CUST002155,2024-01-02,SKU-FOO-2335,footwear,1,6600.86,259.22,317.08,6658.72,UPI,delivered,Bangalore,Karnataka,1,delivered
M001,ORD000072,CUST005538,2024-01-02,SKU-FOO-9175,footwear,1,4892.22,588.9,774.6,5077.92,COD,returned,Bangalore,Karnataka,5,returned
M001,ORD000073,CUST001440,2024-01-02,SKU-BEA-4648,beauty,3,2670.58,242.85,291.33,2719.06,COD,delivered,Bangalore,Karnataka,4,delivered
M001,ORD000074,CUST002073,2024-01-02,SKU-ACC-3764,accessories,1,6723.78,800.13,710.84,6634.49,Debit Card,delivered,Bangalore,Karnataka,3,delivered
M001,ORD000075,CUST002302,2024-01-02,SKU-FOO-3163,footwear,1,6313.08,1315.39,599.72,5597.41,Debit Card,delivered,Bangalore,Karnataka,10,delivered
M001,ORD000076,CUST003235,2024-01-03,SKU-HOM-8453,home,1,6074.37,906.42,620.15,5788.1,Credit Card,delivered,Bangalore,Karnataka,5,delayed
M001,ORD000077,CUST003376,2024-01-03,SKU-LIF-2869,lifestyle,3,3844.54,372.01,416.7,3889.23,COD,delivered,Bangalore,Karnataka,6,delivered
M001,ORD000078,CUST006270,2024-01-03,SKU-BEA-8507,beauty,4,7711.3,18.53,384.64,8077.41,COD,delivered,Bangalore,Karnataka,4,delivered
M001,ORD000079,CUST003805,2024-01-03,SKU-LIF-8370,lifestyle,3,9888.73,399.0,1138.77,10628.5,Debit Card,delivered,Bangalore,Karnataka,9,delivered
M001,ORD000080,CUST002852,2024-01-03,SKU-FOO-1397,footwear,4,6401.14,1388.58,250.63,5263.19,Credit Card,delivered,Bangalore,Karnataka,4,delivered
M001,ORD000081,CUST001156,2024-01-03,SKU-FOO-3418,footwear,3,3947.8,945.14,540.48,3543.14,UPI,delivered,Bangalore,Karnataka,8,delivered
M001,ORD000082,CUST002406,2024-01-03,SKU-LIF-4459,lifestyle,3,7723.88,566.97,357.85,7514.76,Credit Card,delivered,Bangalore,Karnataka,10,delivered
M001,ORD000083,CUST003183,2024-01-03,SKU-FOO-3763,footwear,3,9627.19,575.91,1086.15,10137.43,COD,delivered,Bangalore,Karnataka,8,delivered
M001,ORD000084,CUST006207,2024-01-03,SKU-BEA-5204,beauty,3,8434.09,2270.43,1109.46,7273.12,UPI,delivered,Bangalore,Karnataka,8,delivered
M001,ORD000085,CUST000990,2024-01-03,SKU-FAS-5667,fashion,2,9109.85,1065.58,1447.97,9492.24,Wallet,delivered,Bangalore,Karnataka,7,delivered
M001,ORD000086,CUST000578,2024-01-03,SKU-HOM-2061,home,1,9109.3,1720.31,886.68,8275.67,COD,delivered,Bangalore,Karnataka,9,delivered
M001,ORD000087,CUST003106,2024-01-03,SKU-HOM-2371,home,4,7920.74,1193.83,336.35,7063.26,UPI,delivered,Bangalore,Karnataka,9,delivered
M001,ORD000088,CUST001045,2024-01-03,SKU-LIF-8025,lifestyle,4,9216.98,2221.33,1259.22,8254.87,COD,delivered,Bangalore,Karnataka,7,delivered
M001,ORD000089,CUST005324,2024-01-03,SKU-FOO-2241,footwear,4,3878.92,787.97,370.91,3461.86,COD,confirmed,Bangalore,Karnataka,10,delivered
M001,ORD000090,CUST001625,2024-01-03,SKU-FOO-7730,footwear,4,3092.5,357.17,492.36,3227.69,Credit Card,delivered,Bangalore,Karnataka,9,delivered
M001,ORD000091,CUST006191,2024-01-03,SKU-HOM-9414,home,3,3472.83,815.45,478.33,3135.71,COD,cancelled,Bangalore,Karnataka,5,cancelled
M001,ORD000092,CUST001584,2024-01-03,SKU-BEA-3631,beauty,4,9831.87,1515.67,1496.92,9813.12,COD,delivered,Bangalore,Karnataka,5,delivered
M001,ORD000093,CUST003937,2024-01-03,SKU-BEA-8849,beauty,4,4323.08,563.78,676.67,4435.97,Credit Card,delivered,Bangalore,Karnataka,4,delivered
M001,ORD000094,CUST005841,2024-01-03,SKU-HOM-7614,home,4,6797.41,1177.37,674.4,6294.44,Credit Card,delivered,Bangalore,Karnataka,2,delivered
M001,ORD000095,CUST000460,2024-01-03,SKU-HOM-5625,home,1,1299.88,249.54,126.04,1176.38,Debit Card,delivered,Bangalore,Karnataka,8,delivered
M001,ORD000096,CUST004277,2024-01-03,SKU-BEA-2057,beauty,3,1723.92,470.39,150.42,1403.95,COD,delivered,Bangalore,Karnataka,6,delivered
M001,ORD000097,CUST001424,2024-01-03,SKU-ACC-4764,accessories,3,7353.79,8.93,1322.07,8666.93,COD,delivered,Bangalore,Karnataka,7,delivered
M001,ORD000098,CUST004941,2024-01-03,SKU-ACC-4905,accessories,2,4388.89,616.57,452.68,4225.0,Credit Card,returned,Bangalore,Karnataka,2,returned
M001,ORD000099,CUST001755,2024-01-03,SKU-HOM-5743,home,4,9216.68,1856.95,883.17,8242.9,COD,cancelled,Bangalore,Karnataka,5,cancelled
M001,ORD000100,CUST001648,2024-01-03,SKU-ACC-5353,accessories,3,4255.66,600.23,182.77,3838.2,COD,returned,Bangalore,Karnataka,6,returned
M001,ORD000101,CUST001075,2024-01-03,SKU-HOM-4671,home,2,8950.61,114.12,441.82,9278.31,UPI,delivered,Bangalore,Karnataka,2,delivered
M001,ORD000102,CUST001144,2024-01-03,SKU-HOM-5638,home,4,1804.7,253.13,279.28,1830.85,Debit Card,delivered,Bangalore,Karnataka,8,delivered
M001,ORD000103,CUST006100,2024-01-03,SKU-HOM-7491,home,1,1157.73,211.8,47.3,993.23,UPI,delivered,Bangalore,Karnataka,6,delivered
M001,ORD000104,CUST001208,2024-01-03,SKU-FAS-6794,fashion,1,8616.29,2404.57,1118.11,7329.83,COD,delivered,Bangalore,Karnataka,6,delivered
M001,ORD000105,CUST004202,2024-01-03,SKU-FOO-4569,footwear,3,9389.25,166.03,1106.79,10330.01,Credit Card,confirmed,Bangalore,Karnataka,7,delivered
M001,ORD000106,CUST002024,2024-01-04,SKU-HOM-4539,home,4,3823.24,1119.94,135.16,2838.46,Debit Card,cancelled,Bangalore,Karnataka,1,cancelled
M001,ORD000107,CUST005926,2024-01-04,SKU-HOM-9909,home,2,9389.44,638.61,1050.1,9800.93,UPI,delivered,Bangalore,Karnataka,4,delivered
M001,ORD000108,CUST004502,2024-01-04,SKU-BEA-1503,beauty,1,4099.99,1108.81,149.56,3140.74,COD,delivered,Bangalore,Karnataka,7,delivered
M001,ORD000109,CUST000057,2024-01-04,SKU-FOO-7712,footwear,1,6920.51,818.99,732.18,6833.7,UPI,returned,Bangalore,Karnataka,2,returned
M001,ORD000110,CUST004271,2024-01-04,SKU-FAS-4101,fashion,2,9161.66,1748.94,370.64,7783.36,UPI,delivered,Bangalore,Karnataka,10,delayed
M001,ORD000111,CUST004462,2024-01-04,SKU-FOO-2564,footwear,1,2930.12,10.3,350.38,3270.2,Debit Card,delivered,Bangalore,Karnataka,4,delivered
M001,ORD000112,CUST003641,2024-01-04,SKU-ACC-7631,accessories,2,9396.47,2369.49,1264.86,8291.84,Credit Card,delivered,Bangalore,Karnataka,2,delivered
M001,ORD000113,CUST003941,2024-01-04,SKU-ACC-8360,accessories,2,3440.99,903.81,456.69,2993.87,UPI,delivered,Bangalore,Karnataka,10,delivered
M001,ORD000114,CUST002074,2024-01-04,SKU-FAS-3768,fashion,2,1930.0,150.46,320.32,2099.86,UPI,confirmed,Bangalore,Karnataka,7,delivered
M001,ORD000115,CUST001624,2024-01-04,SKU-LIF-5077,lifestyle,3,3825.0,748.89,553.7,3629.81,Credit Card,delivered,Bangalore,Karnataka,6,delivered
M001,ORD000116,CUST004655,2024-01-04,SKU-FOO-9704,footwear,3,9199.09,2176.96,351.11,7373.24,Credit Card,delivered,Bangalore,Karnataka,8,delivered
M001,ORD000117,CUST000583,2024-01-04,SKU-ACC-6617,accessories,2,2393.11,265.21,383.02,2510.92,Credit Card,delivered,Bangalore,Karnataka,4,delivered
M001,ORD000118,CUST003387,2024-01-04,SKU-ACC-3147,accessories,3,4106.95,963.85,377.17,3520.27,UPI,confirmed,Bangalore,Karnataka,4,delayed
M001,ORD000119,CUST001931,2024-01-04,SKU-FAS-5998,fashion,3,8492.89,1414.29,1274.15,8352.75,UPI,delivered,Bangalore,Karnataka,7,delivered
M001,ORD000120,CUST004655,2024-01-04,SKU-HOM-4463,home,4,3790.55,124.51,439.92,4105.96,UPI,delivered,Bangalore,Karnataka,5,delivered
M001,ORD000121,CUST006464,2024-01-04,SKU-FAS-5951,fashion,1,9599.05,688.56,1069.26,9979.75,COD,confirmed,Bangalore,Karnataka,4,delivered
M001,ORD000122,CUST002225,2024-01-04,SKU-FOO-1899,footwear,1,4039.65,526.34,632.4,4145.71,UPI,delivered,Bangalore,Karnataka,6,delivered
M001,ORD000123,CUST002876,2024-01-04,SKU-HOM-2680,home,3,9494.13,814.55,1041.55,9721.13,Credit Card,delivered,Bangalore,Karnataka,5,delivered
M001,ORD000124,CUST004359,2024-01-04,SKU-ACC-3252,accessories,4,9252.94,1659.83,379.66,7972.77,Credit Card,delivered,Bangalore,Karnataka,9,delivered
M001,ORD000125,CUST000111,2024-01-04,SKU-FOO-6228,footwear,4,5733.73,368.64,643.81,6008.9,COD,delivered,Bangalore,Karnataka,7,delivered
M001,ORD000126,CUST001273,2024-01-04,SKU-LIF-7458,lifestyle,2,4425.98,164.34,511.4,4773.04,COD,cancelled,Bangalore,Karnataka,8,cancelled
M001,ORD000127,CUST001882,2024-01-04,SKU-BEA-9830,beauty,2,572.17,3.3,102.4,671.27,Wallet,delivered,Bangalore,Karnataka,3,delayed
M001,ORD000128,CUST003734,2024-01-04,SKU-ACC-6555,accessories,1,1842.98,523.92,237.43,1556.49,COD,returned,Bangalore,Karnataka,5,returned
M001,ORD000129,CUST000329,2024-01-04,SKU-BEA-3849,beauty,3,5328.96,1182.22,746.41,4893.15,UPI,delivered,Bangalore,Karnataka,10,delivered
M001,ORD000130,CUST005305,2024-01-04,SKU-HOM-1372,home,3,5518.21,436.01,609.86,5692.06,COD,confirmed,Bangalore,Karnataka,10,delivered
M001,ORD000131,CUST004119,2024-01-04,SKU-FAS-3144,fashion,2,6691.82,1573.78,614.16,5732.2,COD,delivered,Bangalore,Karnataka,4,delivered
M001,ORD000132,CUST005465,2024-01-04,SKU-LIF-8073,lifestyle,1,2702.81,386.43,416.95,2733.33,COD,delivered,Bangalore,Karnataka,3,delivered
M001,ORD000133,CUST003275,2024-01-04,SKU-HOM-7180,home,1,5559.18,950.85,829.5,5437.83,Debit Card,cancelled,Bangalore,Karnataka,8,cancelled
M001,ORD000134,CUST002803,2024-01-04,SKU-FAS-9427,fashion,1,699.19,175.65,26.18,549.72,COD,delivered,Bangalore,Karnataka,5,delivered
M001,ORD000135,CUST001699,2024-01-04,SKU-HOM-1698,home,4,1449.91,212.86,222.67,1459.72,UPI,delivered,Bangalore,Karnataka,8,delivered
M001,ORD000136,CUST001348,2024-01-04,SKU-HOM-7959,home,2,9465.29,371.26,454.7,9548.73,UPI,delivered,Bangalore,Karnataka,2,delivered
M001,ORD000137,CUST001189,2024-01-04,SKU-ACC-1880,accessories,3,9486.87,1502.6,1437.17,9421.44,Wallet,delivered,Bangalore,Karnataka,8,delivered
M001,ORD000138,CUST005187,2024-01-05,SKU-BEA-8062,beauty,3,7935.91,1589.93,761.52,7107.5,COD,delivered,Bangalore,Karnataka,4,delivered
M001,ORD000139,CUST000064,2024-01-05,SKU-HOM-4866,home,2,1336.1,76.67,226.7,1486.13,Wallet,delivered,Bangalore,Karnataka,7,delivered
M001,ORD000140,CUST003207,2024-01-05,SKU-FOO-9682,footwear,3,4844.98,1273.33,428.6,4000.25,COD,delivered,Bangalore,Karnataka,2,delivered
M001,ORD000141,CUST000301,2024-01-05,SKU-ACC-1539,accessories,2,2462.84,725.0,312.81,2050.65,NetBanking,confirmed,Bangalore,Karnataka,2,delivered
M001,ORD000142,CUST005061,2024-01-05,SKU-HOM-6579,home,2,645.26,143.69,60.19,561.76,COD,delivered,Bangalore,Karnataka,1,delivered
M001,ORD000143,CUST001399,2024-01-05,SKU-FOO-8876,footwear,3,9114.77,2083.23,843.78,7875.32,COD,delivered,Bangalore,Karnataka,6,delivered
M001,ORD000144,CUST001637,2024-01-05,SKU-LIF-2980,lifestyle,2,4415.32,1147.23,163.4,3431.49,UPI,delivered,Bangalore,Karnataka,2,delivered
M001,ORD000145,CUST003920,2024-01-05,SKU-FAS-8162,fashion,3,4112.21,175.8,472.37,4408.78,Wallet,delivered,Bangalore,Karnataka,4,delivered
M001,ORD000146,CUST002440,2024-01-05,SKU-HOM-2606,home,2,4306.79,506.54,456.03,4256.28,COD,delivered,Bangalore,Karnataka,5,delivered
M001,ORD000147,CUST005888,2024-01-05,SKU-HOM-7461,home,3,877.27,28.56,42.44,891.15,COD,delivered,Bangalore,Karnataka,1,delivered
M001,ORD000148,CUST002181,2024-01-05,SKU-HOM-7697,home,4,7018.92,1831.48,622.49,5809.93,UPI,delivered,Bangalore,Karnataka,8,delayed
M001,ORD000149,CUST005654,2024-01-05,SKU-FAS-7441,fashion,2,1476.79,286.6,142.82,1333.01,Debit Card,delivered,Bangalore,Karnataka,3,delayed
M001,ORD000150,CUST002613,2024-01-05,SKU-FOO-9447,footwear,4,6692.47,1314.81,645.32,6022.98,UPI,delivered,Bangalore,Karnataka,6,delivered
M001,ORD000151,CUST005598,2024-01-05,SKU-FAS-4592,fashion,2,4861.5,1318.37,637.76,4180.89,Debit Card,returned,Bangalore,Karnataka,6,returned
M001,ORD000152,CUST006129,2024-01-05,SKU-HOM-5695,home,2,8778.68,1183.13,911.47,8507.02,COD,delivered,Bangalore,Karnataka,6,delivered
M001,ORD000153,CUST005524,2024-01-05,SKU-BEA-3388,beauty,3,8101.64,1271.06,341.53,7172.11,UPI,delivered,Bangalore,Karnataka,6,delivered
M001,ORD000154,CUST002954,2024-01-05,SKU-FAS-9704,fashion,3,906.89,129.28,139.97,917.58,Debit Card,delivered,Bangalore,Karnataka,7,delivered
M001,ORD000155,CUST002170,2024-01-05,SKU-ACC-7262,accessories,4,8694.52,251.24,422.16,8865.44,COD,delivered,Bangalore,Karnataka,3,delivered
M001,ORD000156,CUST000869,2024-01-05,SKU-ACC-7058,accessories,2,3116.48,793.26,116.16,2439.38,UPI,delivered,Bangalore,Karnataka,4,delivered
M001,ORD000157,CUST001998,2024-01-05,SKU-FAS-5648,fashion,2,4207.65,1093.13,560.61,3675.13,COD,delivered,Bangalore,Karnataka,6,delivered
M001,ORD000158,CUST001435,2024-01-05,SKU-ACC-5140,accessories,1,5853.65,292.94,278.04,5838.75,COD,delivered,Bangalore,Karnataka,6,delivered
M001,ORD000159,CUST002627,2024-01-05,SKU-FAS-6876,fashion,4,1304.06,334.62,116.33,1085.77,Wallet,returned,Bangalore,Karnataka,2,returned
M001,ORD000160,CUST005760,2024-01-05,SKU-FOO-9619,footwear,2,6303.11,903.99,269.96,5669.08,Debit Card,delivered,Bangalore,Karnataka,10,delivered
M001,ORD000161,CUST005148,2024-01-05,SKU-FAS-9789,fashion,4,7995.32,1310.85,334.22,7018.69,Debit Card,delivered,Bangalore,Karnataka,6,delivered
M001,ORD000162,CUST004018,2024-01-05,SKU-ACC-5491,accessories,2,5710.56,965.19,569.44,5314.81,UPI,delivered,Bangalore,Karnataka,3,delivered
M001,ORD000163,CUST002128,2024-01-05,SKU-ACC-4717,accessories,2,3660.13,129.94,635.43,4165.62,Debit Card,delivered,Bangalore,Karnataka,2,delivered
M001,ORD000164,CUST001539,2024-01-05,SKU-ACC-2886,accessories,2,6324.46,219.49,1098.89,7203.86,COD,delivered,Bangalore,Karnataka,3,delayed
M001,ORD000165,CUST002723,2024-01-05,SKU-HOM-1374,home,3,7332.0,747.84,1185.15,7769.31,Debit Card,processing,Bangalore,Karnataka,6,delivered
